R	Gamma	E
1.00	0	-92.956144210269
1.00	10	-93.397426694189
1.00	20	-94.263964591454
1.00	30	-94.97488347965
1.00	40	-95.388091993987
1.00	50	-95.579653759502
1.00	60	-95.642346043683
1.00	70	-95.636850544692
1.00	80	-95.613527772117
1.00	90	-95.658833491932
1.00	100	-95.717785191506
1.00	110	-95.751417841028
1.00	120	-95.735081634011
1.00	130	-95.638340954491
1.00	140	-95.412806725152
1.00	150	-94.99501351921
1.00	160	-94.352327835087
1.00	170	-93.618707557511
1.00	180	-93.070914990677
1.10	0	-94.394022421934
1.10	10	-94.590400819144
1.10	20	-94.996700186809
1.10	30	-95.355800002607
1.10	40	-95.578231348972
1.10	50	-95.687325632726
1.10	60	-95.728982157698
1.10	70	-95.742081111477
1.10	80	-95.767874224516
1.10	90	-95.795100989096
1.10	100	-95.819195762121
1.10	110	-95.836950122243
1.10	120	-95.82419618432
1.10	130	-95.756715755164
1.10	140	-95.602131577338
1.10	150	-95.322299716714
1.10	160	-94.898607528464
1.10	170	-94.405814127104
1.10	180	-94.016115852396
1.20	0	-95.061099955495
1.20	10	-95.158024865088
1.20	20	-95.364926000482
1.20	30	-95.559684363055
1.20	40	-95.692798609753
1.20	50	-95.771043397938
1.20	60	-95.816454442043
1.20	70	-95.849391941481
1.20	80	-95.881003771656
1.20	90	-95.899573077408
1.20	100	-95.908931625357
1.20	110	-95.911969871313
1.20	120	-95.894969770239
1.20	130	-95.838046069301
1.20	140	-95.714915865038
1.20	150	-95.494625684098
1.20	160	-95.151783577389
1.20	170	-94.702678493868
1.20	180	-94.346538478605
1.30	0	-95.366328940625
1.30	10	-95.422565613463
1.30	20	-95.546813730373
1.30	30	-95.674625486425
1.30	40	-95.77591043924
1.30	50	-95.848407338245
1.30	60	-95.899801227749
1.30	70	-95.937663172209
1.30	80	-95.964123107665
1.30	90	-95.977313625672
1.30	100	-95.980616897757
1.30	110	-95.975597372215
1.30	120	-95.954429269276
1.30	130	-95.900860084184
1.30	140	-95.790359204593
1.30	150	-95.590485752365
1.30	160	-95.259524980635
1.30	170	-94.719767448006
1.30	180	-94.197992928645
1.40	0	-95.494858700837
1.40	10	-95.542952473142
1.40	20	-95.647633315918
1.40	30	-95.758097382445
1.40	40	-95.850832746148
1.40	50	-95.920779137828
1.40	60	-95.970701280539
1.40	70	-96.004631638188
1.40	80	-96.025261124285
1.40	90	-96.034629412605
1.40	100	-96.035188723326
1.40	110	-96.027137201021
1.40	120	-96.004727423567
1.40	130	-95.95411869045
1.40	140	-95.851347489378
1.40	150	-95.660036107991
1.40	160	-95.319623834916
1.40	170	-94.640281044455
1.40	180	-93.473884266853
1.50	0	-95.536383520348
1.50	10	-95.623435825004
1.50	20	-95.734658773272
1.50	30	-95.837566605075
1.50	40	-95.921391846083
1.50	50	-95.983599464396
1.50	60	-96.026593657909
1.50	70	-96.054192470188
1.50	80	-96.069896260639
1.50	90	-96.076502416224
1.50	100	-96.075815887408
1.50	110	-96.067387603366
1.50	120	-96.046331394167
1.50	130	-96.000580466046
1.50	140	-95.907407521787
1.50	150	-95.729525034089
1.50	160	-95.403874362023
1.50	170	-94.548088653786
1.50	180	-90.093509371758
1.60	0	-95.53635182763
1.60	10	-95.738949698453
1.60	20	-95.828028299847
1.60	30	-95.913565361693
1.60	40	-95.983270513217
1.60	50	-96.034428751015
1.60	60	-96.068995775469
1.60	70	-96.090471627656
1.60	80	-96.102234563447
1.60	90	-96.106856041469
1.60	100	-96.105681986687
1.60	110	-96.098053242515
1.60	120	-96.079757255154
1.60	130	-96.040417786118
1.60	140	-95.959681884261
1.60	150	-95.80353501431
1.60	160	-95.518190628746
1.60	170	-94.572683183994
1.70	0	-95.816747548831
1.70	10	-95.849014293286
1.70	20	-95.913470602053
1.70	30	-95.979257909713
1.70	40	-96.03381358596
1.70	50	-96.073819029559
1.70	60	-96.100533318476
1.70	70	-96.116816425901
1.70	80	-96.1255065716
1.70	90	-96.128714286312
1.70	100	-96.127443742934
1.70	110	-96.12102794238
