R	0	30	60	90
1.0	2623351.296492	272120.715145	111686.682477	74211.287225
1.1	6576507.867412	249182.975053	94966.309494	60865.092905
1.2		219457.98872	79468.690148	49030.607617
1.3		186107.699196	64951.074027	38195.212227
1.4	4578475.797669	154379.374469	51656.340016	28932.970214
1.5	1930982.151846	128053.262591	40226.743011	21547.61917
1.6	918359.16946	108026.909259	30842.487787	15839.378055
1.7	479106.685503	92951.400503	23356.455936	11507.450025
1.8	282877.296624	80387.963613	17526.112528	8287.762065
1.9	189873.716871	67728.449456	13017.701947	5915.719515
2.0	142269.909018	55157.87856	9577.607791	4183.970871
2.1	121398.443234	43974.481548	6985.721159	2930.533733
2.2	96147.19485	34388.803296	5051.846456	2030.546615
2.3	78454.836442	26373.008276	3620.645252	1389.467157
2.4	66520.994614	19861.459473	2569.488931	936.693376
2.5	58515.052231	14743.081056	1803.503692	619.841191
2.6	53079.078406	10785.487348	1249.895364	400.339753
2.7	24736.645788	7781.624908	853.27286	249.997843
2.8	17333.889429	5553.088097	571.851024	148.371013
2.9	12072.537773	3923.634215	374.304743	80.747851
3.0	8352.028239	2744.493691	237.306136	36.624349
3.1	5746.307654	1898.87674	143.572051	8.56268
3.2	3930.199851	1297.778549	80.411074	-8.654331
3.3	2668.907232	874.329283	38.605696	-18.646386
3.4	1796.523182	578.884795	11.560279	-23.8961
3.5	1196.154578	374.901283	-5.383058	-26.086813
3.6	785.494736	235.682551	-15.480492	-26.350771
3.7	506.676248	141.855501	-20.997071	-25.445189
3.8	319.051297	79.506055	-23.505171	-23.874442
3.9	194.095561	38.767819	-24.094208	-21.972031
4.0	111.865033	12.734271	-23.514268	-19.95338
4.1	58.522081	-3.385192	-22.272946	-17.953021
4.2	24.559143	-12.898394	-20.702861	-16.050304
4.3	3.495135	-18.080123	-19.012169	-14.287302
4.4	-9.069082	-20.483782	-17.323338	-12.682286
4.5	-16.111228	-21.157218	-15.703333	-11.239221
4.6	-19.636623	-20.794862	-14.185977	-9.95368
4.7	-20.981859	-19.846716	-12.786476	-8.816408
4.8	-21.020943	-18.597824	-11.509983	-7.816066
4.9	-20.311286	-17.224144	-10.356772	-6.939827
5.0	-19.199189	-15.831439	-9.323558	-6.175045
5.1	-17.895595	-14.481403	-8.40491	-5.509376
5.2	-16.527331	-13.208005	-7.593185	-4.930669
5.3	-15.17017	-12.028382	-6.879314	-4.428051
5.4	-13.868489	-10.950121	-6.252782	-3.991485
5.5	-12.647697	-9.974537	-5.703179	-3.612108
5.6	-11.521516	-9.099181	-5.220058	-3.281726
5.7	-10.496028	-8.318816	-4.794009	-2.993612
5.8	-9.572252	-7.625896	-4.416911	-2.741651
5.9	-8.747119	-7.011455	-4.081821	-2.520815
6.0	-8.014473	-6.465607	-3.782972	-2.326552
6.2	-6.790577	-5.542483	-3.276033	-2.004484
6.4	-5.821197	-4.792917	-2.867618	-1.750988
6.6	-5.036846	-4.175746	-2.536086	-1.549019
6.8	-4.391485	-3.665203	-2.264823	-1.385592
7.0	-3.857954	-3.24252	-2.040437	-1.251282
7.2	-3.416815	-2.891654	-1.852746	-1.139465
7.4	-3.050945	-2.597973	-1.694082	-1.0454
7.6	-2.744916	-2.350147	-1.558696	-0.965689
7.8	-2.486104	-2.139655	-1.442471	-0.897402
8.0	-2.265199	-1.959834	-1.342002	-0.838617
8.2	-2.075582	-1.805471	-1.254559	-0.787573
8.4	-1.912241	-1.672425	-1.178066	-0.743061
8.6	-1.771247	-1.557665	-1.110786	-0.703987
8.8	-1.649116	-1.457939	-1.051111	-0.669441
9.0	-1.542772	-1.370528	-0.997978	-0.638762
9.5	-1.330003	-1.193395	-0.887634	-0.575523
10.0	-1.170253	-1.058337	-0.800992	-0.526317
10.5	-1.045479	-0.951623	-0.731066	-0.486576
11.0	-0.945229	-0.865082	-0.673072	-0.453764
11.5	-0.86278	-0.793301	-0.623933	-0.425882
12.0	-0.793783	-0.732669	-0.581852	-0.401665
12.5	-0.73501	-0.680713	-0.545146	-0.380512
13.0	-0.684207	-0.635651	-0.512901	-0.361684
13.5	-0.639932	-0.596071	-0.484295	-0.344669
14.0	-0.600884	-0.560939	-0.458454	-0.329423
14.5	-0.566082	-0.529521	-0.435294	-0.315377
15.0	-0.534906	-0.501312	-0.414234	-0.302482
16.0	-0.481326	-0.45258	-0.377342	-0.279648
17.0	-0.436805	-0.411847	-0.346046	-0.259795
18.0	-0.399092	-0.377124	-0.318924	-0.242436
19.0	-0.366554	-0.347336	-0.295628	-0.22694
20.0	-0.33823	-0.321308	-0.27499	-0.213163
21.0	-0.313854	-0.298275	-0.256695	-0.200723
22.0	-0.291925	-0.277996	-0.240458	-0.189632
23.0	-0.272755	-0.259984	-0.225724	-0.179433
24.0	-0.255596	-0.24399	-0.212336	-0.169808
25.0	-0.240066	-0.229461	-0.200369	-0.161103
50.0	-0.076642	-0.07408	-0.066831	-0.057094
100.0	-0.009808	-0.009155	-0.007344	-0.004943
