R	Gamma	E
1.00	0	2623351.296492
1.00	10	1521932.527921
1.00	20	582829.472838
1.00	30	272120.715145
1.00	40	185729.602164
1.00	50	145827.13512
1.00	60	111686.682477
1.00	70	91654.323619
1.00	80	82497.460956
1.00	90	74211.287225
1.00	100	74819.781154
1.00	110	84106.147465
1.00	120	102913.877914
1.00	130	131407.690947
1.00	140	166370.669689
1.00	150	240545.293262
1.00	160	478515.562035
1.00	170	1080645.055557
1.00	180	1652930.850714
1.10	0	6576507.867412
1.10	10	2361219.735973
1.10	20	641170.090904
1.10	30	249182.975053
1.10	40	163456.036912
1.10	50	128101.031807
1.10	60	94966.309494
1.10	70	76814.564487
1.10	80	68945.548712
1.10	90	60865.092905
1.10	100	61276.280834
1.10	110	69871.370933
1.10	120	87844.839817
1.10	130	116597.930956
1.10	140	146342.436017
1.10	150	224923.205028
1.10	160	543973.860155
1.10	170	1682691.15113
1.10	180	3507441.479271
1.20	10	2953932.763714
1.20	20	628454.469289
1.20	30	219457.98872
1.20	40	143275.094016
1.20	50	109849.638105
1.20	60	79468.690148
1.20	70	63299.335696
1.20	80	54827.494523
1.20	90	49030.607617
1.20	100	49497.326444
1.20	110	57156.655511
1.20	120	73452.317882
1.20	130	100787.284121
1.20	140	127364.522945
1.20	150	203650.159586
1.20	160	567162.839164
1.20	170	2329051.045113
1.30	10	2566150.954729
1.30	20	538580.550847
1.30	30	186107.699196
1.30	40	125012.455612
1.30	50	91770.636602
1.30	60	64951.074027
1.30	70	50104.102862
1.30	80	42000.702601
1.30	90	38195.212227
1.30	100	39105.503872
1.30	110	45857.158521
1.30	120	60104.344597
1.30	130	84461.237873
1.30	140	110341.805712
1.30	150	177606.554869
1.30	160	525652.576027
1.30	170	2444019.800255
1.40	0	4578475.797669
1.40	10	1676353.306772
1.40	20	412914.805229
1.40	30	154379.374469
1.40	40	108176.274927
1.40	50	75060.030261
1.40	60	51656.340016
1.40	70	38554.097957
1.40	80	31644.084752
1.40	90	28932.970214
1.40	100	30158.631266
1.40	110	36073.019595
1.40	120	48291.682632
1.40	130	69420.066671
1.40	140	95467.030763
1.40	150	150505.759416
1.40	160	435841.218147
1.40	170	1874992.085561
1.40	180	7083882.43906
1.50	0	1930982.151846
1.50	10	972784.761984
1.50	20	296702.823276
1.50	30	128053.262591
1.50	40	92278.824175
1.50	50	60342.084264
1.50	60	40226.743011
1.50	70	29170.01232
1.50	80	23522.803728
1.50	90	21547.61917
1.50	100	22809.90759
1.50	110	27872.760749
1.50	120	38215.203928
1.50	130	56365.021974
1.50	140	82157.167956
1.50	150	126296.165493
1.50	160	335084.257966
1.50	180	2725650.83234
1.60	0	918359.16946
1.60	10	553882.962613
1.60	20	210779.15735
1.60	30	108026.909259
1.60	40	76407.947656
1.60	50	47814.51725
1.60	60	30842.487787
1.60	70	21771.501247
1.60	80	17285.040032
1.60	90	15839.378055
1.60	100	16995.57305
1.60	110	21211.397731
1.60	120	29853.964502
1.60	130	45331.574298
1.60	140	69562.072936
1.60	150	107145.76802
1.60	160	250896.053592
1.60	170	740373.238421
1.60	180	1333283.962696
1.70	0	479106.685503
1.70	20	155543.833366
1.70	30	92951.400503
1.70	40	62075.065325
1.70	50	37395.255643
1.70	60	23356.455936
1.70	70	16054.457398
1.70	80	12562.548946
1.70	90	11507.450025
1.70	100	12507.843223
1.70	110	15952.955925
1.70	120	23075.590293
1.70	130	36159.270754
1.70	140	58381.35908
1.70	150	93088.477448
1.70	160	192593.459439
1.70	170	472168.65526
1.70	180	743902.065202
1.80	0	282877.296624
1.80	20	123009.384905
1.80	30	80387.963613
1.80	40	49803.98353
1.80	50	28917.020806
1.80	60	17526.112528
1.80	70	11734.45047
1.80	80	9054.724655
1.80	90	8287.762065
1.80	100	9123.078647
1.80	110	11895.086309
1.80	120	17682.013573
1.80	130	28629.405572
1.80	140	48574.004407
1.80	150	82573.203713
1.80	170	333997.53242
1.80	180	490820.327648
1.90	0	189873.716871
1.90	10	154412.034565
1.90	20	103831.598972
1.90	30	67728.449456
1.90	40	39461.607408
1.90	50	22122.793615
1.90	60	13017.701947
1.90	70	8505.595701
1.90	80	6470.487213
1.90	90	5915.719515
1.90	100	6596.34358
1.90	110	8797.282436
1.90	120	13432.8555
1.90	130	22494.623585
1.90	140	39999.373061
1.90	150	73325.663321
1.90	160	139684.76398
1.90	170	272725.489376
1.90	180	445060.669361
2.00	0	142269.909018
2.00	10	126838.88952
2.00	20	89270.611142
2.00	30	55157.87856
2.00	40	30851.819978
2.00	50	16765.566095
2.00	60	9577.607791
2.00	70	6114.251472
2.00	80	4582.774558
2.00	90	4183.970871
2.00	100	4728.686119
2.00	110	6456.217946
2.00	120	10133.502756
2.00	130	17535.537245
2.00	140	32563.180484
2.00	150	63897.436766
2.00	160	128426.725897
2.00	170	254252.834889
2.00	180	469082.572045
2.10	0	121398.443234
2.10	10	105773.087832
2.10	20	73637.967483
2.10	30	43974.481548
2.10	40	23788.52738
2.10	50	12584.673255
2.10	60	6985.721159
2.10	70	4357.619827
2.10	80	3215.087696
2.10	90	2930.533733
2.10	100	3360.005741
2.10	110	4702.120762
2.10	120	7591.399212
2.10	130	13551.867956
2.10	140	26191.146701
2.10	150	54346.380774
2.10	160	116409.738401
2.10	170	248376.294
2.10	180	750770.727066
2.20	0	96147.19485
2.20	10	85316.997176
2.20	20	59190.904435
2.20	30	34388.803296
2.20	40	18098.146735
2.20	50	9335.820759
2.20	60	5051.846456
2.20	70	3076.845486
2.20	80	2231.786284
2.20	90	2030.546615
2.20	100	2364.760307
2.20	110	3397.447303
2.20	120	5645.434806
2.20	130	10374.52291
2.20	140	20808.089607
2.20	150	45180.904707
2.20	160	101286.093285
2.20	170	237057.822685
2.30	0	78454.836442
2.30	10	69333.47755
2.30	20	46580.129882
2.30	30	26373.008276
2.30	40	13612.816794
2.30	50	6853.010661
2.30	60	3620.645252
2.30	70	2149.875047
2.30	80	1530.354672
2.30	90	1389.467157
2.30	100	1646.549023
2.30	110	2433.779265
2.30	120	4166.397669
2.30	130	7879.464681
2.30	140	16327.870994
2.30	150	36789.395988
2.30	160	85613.923952
2.30	170	215114.163294
2.40	0	66520.994614
2.40	10	54874.335728
2.40	20	35674.974548
2.40	30	19861.459473
2.40	40	10101.218796
2.40	50	4981.898639
2.40	60	2569.488931
2.40	70	1484.136052
