R,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1.0,-109730390.31322286,111891371.70024097,-468128867.0643942,251576146.5057298,-589195356.6517929,313935367.0189558,-491044565.09305483,246765258.2353502,-284145027.9927777,96767048.92057614,-72233350.74495822,-42458130.71958451,74269579.14386426,-107522267.24659577,130870968.39073604,-95990507.66131596,155008860.25004157,-86470731.97283673,89594400.44808565
1.1,-70426543.45599094,73125348.94139336,-300799207.81497574,163514500.5631208,-379069933.18406296,203198305.71638253,-316001043.9826059,159292925.22808886,-182526513.67776313,62083134.1265175,-45738899.93376429,-28045866.427262213,48804916.72226624,-70143057.88898161,85312812.10995285,-62738054.68741456,101144447.84354247,-57060046.78195316,58529167.77749987
1.2,-45048970.0797238,47664030.72607845,-192653686.26345348,105995404.17151138,-243124443.8800786,131159361.88883491,-202732688.25157887,102522529.36164725,-116866336.99643266,39673717.8269692,-28803577.489402752,-18530484.323536005,32049284.221976396,-45697252.49314008,55531254.56740555,-40947837.39011488,65896631.85268437,-37613150.43965837,38178395.18423908
1.3,-28708246.23853708,30975721.114061084,-122944852.71408166,68505685.80498937,-155396321.24910313,84400419.84639475,-129623517.43132257,65766884.21306629,-74554103.15801217,25239513.901791763,-18023653.472691204,-12248124.893358659,21031995.103639796,-29729769.416668087,36089332.489453815,-26686631.30123159,42862629.02027505,-24766101.056008417,24864243.122779652
1.4,-18218245.867522404,20062834.561526824,-78143273.24571976,44128317.06940821,-98942916.55840221,54125348.11103855,-82566151.80912112,42032992.1296049,-47368066.15289226,15974375.65957282,-11194392.610628065,-8099887.788982221,13792988.244256197,-19313740.46132769,23415465.155219533,-17365336.399486057,27832017.263123795,-16287287.289742822,16165916.32739314
1.5,-11506736.848731723,12945116.997665478,-49442766.24725868,28318728.69542766,-62727653.55888202,34576814.14273395,-52369996.555826336,26752686.39129175,-29957820.887683183,10050381.318447353,-6891448.453477365,-5360228.109336444,9039908.988018196,-12528317.399167204,15166047.280567205,-11281351.663848476,18039047.36077882,-10697264.503545346,10491672.267454458
1.6,-7228755.513135001,8316254.193087226,-31123042.802420523,18095697.62145955,-39575245.10077271,21992802.936810777,-33059193.46344131,16947212.92241208,-18848605.089128748,6279438.76479571,-4197316.346981497,-3550236.201975772,5921255.800061713,-8114279.201940715,9805044.635862978,-7316230.693086106,11669034.197307322,-7015938.588607727,6796047.8535326235
1.7,-4513345.258256702,5315881.019237481,-19476519.77661654,11506870.059798205,-24830685.604860447,13919610.845282445,-20756331.96602689,10678057.652451074,-11788778.919451194,3891199.7965858052,-2522895.6508539747,-2353866.6723101623,3876401.7986108135,-5247097.475864188,6326960.626752698,-4736088.028503834,7532763.876220021,-4594521.600678654,4393183.434592615
1.8,-2797902.8401419767,3378347.1125451666,-12105931.30428393,7276072.211396923,-15481028.088902041,8760071.528634112,-12951352.352569534,6686403.051354057,-7322826.132547978,2387523.5605980433,-1491318.5476859023,-1562584.006562276,2536504.152859689,-3387536.3339249766,4074451.215270014,-3059948.1006726357,4851921.151999515,-3003893.5374434744,2833692.8354108525
1.9,-1720001.4531059407,2132498.334440012,-7465342.834040326,4570844.807267502,-9581109.995070802,5476851.3559950525,-8023446.086096534,4156751.484643817,-4512373.267929133,1447258.4165927288,-862477.9974317008,-1038800.7628532505,1659078.780376832,-2183390.8541552965,2618370.8849205663,-1972986.5836103,3117817.26095793,-1960478.9411018754,1823522.2658727693
2.0,-1046870.947863042,1335338.514576073,-4560728.291396381,2849411.132169681,-5878648.742952068,3397858.4685008107,-4928912.508659599,2562186.5027400004,-2754227.926446604,864055.2928670181,-484110.96107558673,-691737.956668602,1084832.6588905158,-1404925.231460207,1678962.2443218792,-1269410.3160848506,1998472.6815029688,-1277061.8200952061,1170531.4436900378
2.1,-629513.4411792018,828171.683104226,-2754998.642574124,1760073.575881051,-3569927.673600073,2088815.0825057942,-2997725.489749179,1563241.8558746395,-1661916.427397355,505832.75837568665,-260175.0384031953,-461492.9760447834,709202.0511387918,-902498.2897062575,1074134.8594467521,-814888.4767461604,1277569.963915586,-830169.8691702471,749361.9390704095
2.2,-372909.6894120901,507646.16864256945,-1641298.8677134707,1075175.683983181,-2140891.82210534,1269948.998877331,-1801203.978229353,941923.8372910997,-988716.9262695999,288411.823931157,-130463.2715686553,-308527.9340035862,463600.5679876772,-578782.7107560966,685562.0586596488,-521869.3138935519,814391.551738911,-538461.3438706588,478357.82867259724
2.3,-216717.03699608747,306666.18604962196,-960849.2991467718,647824.8580159715,-1264012.9821166906,761626.907810351,-1066114.1105748,558751.1668513473,-577762.8702250778,158407.7487555702,-57505.19258686777,-206736.2836578925,303073.8387302761,-370573.4944015951,436485.17790096026,-333381.23758783174,517561.19293043506,-348413.7295398747,304421.77693328884
2.4,-122795.25421907257,181829.51813097793,-549798.4743115434,383582.35066115257,-731505.4833437528,448944.84598900407,-619038.3189552552,324841.8299724452,-329773.7355479583,82157.79223957747,-18179.82587237173,-138870.65895697533,198178.24056051715,-236890.53743279038,277201.67926712544,-212414.72861019569,327855.29781320796,-224855.0413605077,193090.52022603896
2.5,-67166.83681451368,105175.65710512953,-304933.40591696143,221981.2111843193,-412189.94431231864,258715.53679788293,-350436.699057563,183819.0387826,-182241.0134576768,38576.33450570709,1632.7536106321188,-93528.27612879344,129642.59310999961,-151207.82775359545,175590.40745682555,-134971.25613664702,206967.03522131982,-144704.584665312,122039.5492652427
2.6,-34850.87373783839,58776.79077496016,-161620.48076433447,124487.11779282213,-223708.93969344525,144548.1502435818,-191493.86608851788,100112.48172832596,-96042.18025334408,14559.428245422534,10446.595194492456,-63163.43714960763,84861.96484468727,-96384.94103557945,110934.7781993371,-85518.95647990964,130172.50502198715,-92839.20424592991,76838.16290579716
2.7,-16554.439315803094,31200.62948901825,-79660.0683197601,66675.4430990791,-114686.0272682834,77200.32564609795,-99248.1033436631,51416.10219627027,-46859.672865519766,2040.0159577421805,13313.867265781064,-42777.15514674957,55596.66538196794,-61365.9049363166,69902.32298044884,-54026.03240019162,81551.41565558333,-59366.0258470805,48179.452816930665
