T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 2.528656832212094449e-10 9.699032996742241162e-11 3.841719369245073000e-11 1.325514963180675648e-11 8.475815913010666686e-12 3.994179676639449825e-12 4.106105575620034907e-12 3.707536976364586329e-12 2.603109138992576843e-12 3.455693449261872330e-12 3.798568266953410870e-10 1.479526802335204924e-10 6.312797954744871439e-11 2.285589682212316414e-11 1.163236269551301033e-11 9.956030658200495633e-12 9.035865950361977177e-12 1.084446025460994638e-11 3.745780095701826029e-12 3.791068788853287382e-10 1.284248082371898183e-10 5.601860923052008491e-11 2.392585987820053014e-11 2.379249262769752285e-11 1.894120488976226234e-11 1.030499950623971086e-11 1.130860887049595953e-11 3.786602721426579623e-10 1.023975641591623768e-10 5.165342022849741977e-11 3.432768624056540388e-11 3.136606062944636771e-11 2.453939228379225036e-11 1.127344701437590435e-11 3.265444984176075504e-10 9.836500989374295732e-11 5.841725951258386144e-11 2.910837034538940643e-11 3.354922194014961804e-11 2.186044894263051708e-11 2.759367991293841788e-10 7.697355722771302422e-11 6.594738125936875866e-11 3.302858207481389506e-11 3.191667764617526339e-11 2.473220338567208957e-10 8.181968536112133594e-11 6.147591623619746750e-11 3.226285382646117798e-11 1.983154634697664081e-10 7.713006310613611342e-11 5.667056166169396475e-11 1.699935741415183059e-10 7.509065135858803358e-11 1.638577343081463243e-10
2.000000000000000000e+00 2.763971673416370406e-10 1.004079025787295189e-10 3.360900987425472190e-11 1.210067878367886359e-11 7.409640229741489793e-12 3.787764966257030154e-12 3.937705917270420723e-12 3.709907421855823503e-12 2.320297951323548501e-12 2.788647657765821293e-12 4.118065682262988122e-10 1.461687952619079808e-10 5.721302253223664244e-11 2.084845571813853415e-11 1.196514953680720100e-11 1.025174445548470571e-11 8.830946517367453898e-12 9.329011604921614547e-12 3.706566586035072906e-12 4.314397559539273839e-10 1.300596307219843520e-10 5.423974861303836512e-11 2.293248859833620754e-11 2.377196041909683430e-11 1.633818783724844646e-11 1.125108429901168135e-11 9.742633889352806095e-12 4.394427334248774225e-10 1.113970372640087028e-10 5.294383651910914029e-11 3.379515611766344772e-11 2.944343902634473177e-11 2.076624820554344020e-11 1.213606956558124794e-11 4.063824682971373378e-10 9.850324579088103365e-11 5.486382177419595317e-11 3.009543838693607964e-11 3.441692229268614621e-11 1.891871572891286030e-11 3.558077065832926557e-10 7.945714319091438534e-11 6.141026545740260168e-11 3.233259207207734880e-11 3.210729076617174391e-11 3.118613877244202257e-10 7.585319054655329040e-11 5.860749110064478178e-11 3.371069235677877073e-11 2.563741628014194950e-10 6.948163035685710237e-11 5.677773645906841370e-11 2.143467821693100213e-10 7.261889108073020724e-11 1.902662383687686125e-10
3.000000000000000000e+00 2.958871362712551151e-10 9.524485691415887111e-11 3.021331591080959261e-11 1.116878268390039344e-11 7.607383187329976080e-12 3.691250542419293949e-12 3.947420421986078176e-12 3.668881297412452177e-12 2.305067991239332605e-12 2.553312001348334383e-12 4.299389446288332240e-10 1.372650720955004122e-10 5.377317082546534366e-11 1.960759614822979873e-11 1.313252326139050657e-11 1.049756861015646735e-11 8.918119171016492746e-12 8.469925654011375173e-12 3.921909897122883409e-12 4.552106378458426830e-10 1.254973393474304120e-10 5.433021097711829761e-11 2.271297297589763597e-11 2.419651824166563448e-11 1.513886369516242048e-11 1.177649212348357483e-11 9.181701462218325998e-12 4.658844694069429400e-10 1.109399014414655639e-10 5.502716849224545320e-11 3.316169299030582445e-11 3.037019782682563400e-11 1.908737665551356418e-11 1.308754750251268519e-11 4.434225415400190648e-10 9.873030619788889959e-11 5.544853636683134493e-11 3.013050907846017495e-11 3.553453994630465880e-11 1.806831967290882815e-11 3.991256327344823663e-10 8.235790280923410625e-11 6.086242238120909277e-11 3.245103280817157844e-11 3.359031304929414536e-11 3.538390534331511945e-10 7.588438493881430825e-11 5.964848500637685809e-11 3.383095904177480409e-11 2.999011252725104810e-10 6.967730345808937842e-11 5.926062960069640759e-11 2.535799377196128832e-10 7.367622493797791661e-11 2.211139757145331405e-10
4.000000000000000000e+00 3.091513343690284011e-10 8.894046557639553775e-11 2.830110026122225798e-11 1.046260421540580863e-11 8.177018032545678366e-12 3.653565010209464283e-12 4.040969022871377658e-12 3.570032640907601829e-12 2.369446062132366196e-12 2.422644763423833706e-12 4.410446853452566506e-10 1.283959988019776284e-10 5.212386497222987154e-11 1.886532876569182790e-11 1.447319721202309137e-11 1.045771715277137894e-11 9.251630759879037300e-12 7.866803636050058654e-12 4.226470311532351803e-12 4.681842886054344018e-10 1.202600594910754116e-10 5.515197269336193017e-11 2.266528965260525143e-11 2.509980591157385329e-11 1.434625407754428732e-11 1.228799711917380516e-11 8.974735844409694723e-12 4.797879389889815771e-10 1.083824220701821202e-10 5.728552937660477421e-11 3.225791546927387427e-11 3.196720593992597244e-11 1.814852881548851807e-11 1.398584319046417258e-11 4.630826582944347207e-10 9.823294901086876148e-11 5.738792358080551799e-11 2.991181133425486617e-11 3.677029772777359076e-11 1.771908147257742558e-11 4.244522786536170804e-10 8.427179166690336036e-11 6.187030792052676028e-11 3.241018691477139948e-11 3.528590209231221381e-11 3.807394533924516890e-10 7.707334678006660637e-11 6.177156062596004220e-11 3.355275130736246153e-11 3.302082386780995764e-10 7.145507379345481482e-11 6.210635415453160214e-11 2.832172905332298375e-10 7.536059729371960965e-11 2.473746020373332477e-10
5.000000000000000000e+00 3.173124757648076026e-10 8.309901821776567915e-11 2.723849167307340946e-11 9.924556287667767565e-12 8.802138309012857891e-12 3.613921305243563694e-12 4.169181318717914809e-12 3.447891420208349282e-12 2.450439252094189655e-12 2.326153115614530410e-12 4.472770007248529996e-10 1.206764401431411270e-10 5.143890270153787942e-11 1.835517558344250221e-11 1.578688293322232468e-11 1.024586509755993780e-11 9.679300873936073131e-12 7.411550416789717959e-12 4.539769649135277940e-12 4.752626545503962240e-10 1.153808711221299978e-10 5.629871221470039070e-11 2.255050733432450036e-11 2.619137629422179941e-11 1.374692646061842770e-11 1.278345828350660299e-11 8.908551207743220274e-12 4.871855593391035987e-10 1.054234272679693635e-10 5.947766419976387874e-11 3.123876489022555695e-11 3.357521947338808599e-11 1.751506162509653095e-11 1.475212478887724107e-11 4.740266127715464601e-10 9.729390467004718533e-11 5.966926864122722160e-11 2.960402741017751872e-11 3.793696595759885122e-11 1.749216366601155674e-11 4.399573895023740930e-10 8.544902756923285605e-11 6.344692672757812191e-11 3.218327949733956287e-11 3.680835603358005713e-11 3.983580524875691992e-10 7.830269777338759990e-11 6.406167840327732433e-11 3.315461345181989004e-11 3.513361304627953265e-10 7.338168086459520334e-11 6.477896880351027735e-11 3.050873552583178374e-10 7.694355367942243566e-11 2.680657732632230307e-10
6.000000000000000000e+00 3.217671474922431417e-10 7.804633538034894383e-11 2.663307478495806677e-11 9.500147703961570659e-12 9.369777928026100624e-12 3.563089714115848609e-12 4.300470474577759056e-12 3.321289223255128974e-12 2.522528991433428774e-12 2.243830634097719814e-12 4.500364949772302286e-10 1.141763966754917930e-10 5.124386121444930888e-11 1.795587330206338689e-11 1.697636738473620014e-11 9.958641996237972887e-12 1.009882740808645245e-11 7.049500386031489884e-12 4.818103838080559249e-12 4.786110270374961687e-10 1.110363321479910781e-10 5.751072425452491702e-11 2.234372822135758120e-11 2.725503045691622542e-11 1.326685559742083365e-11 1.321822146505456095e-11 8.887667425106676776e-12 4.905131075526844079e-10 1.025418607079869267e-10 6.144125166066035506e-11 3.020512720491211166e-11 3.495852136762901774e-11 1.701692964612990592e-11 1.535117190655551803e-11 4.797712785302449149e-10 9.614884833123450435e-11 6.186355240204445670e-11 2.924645126258388650e-11 3.890749971009153137e-11 1.727366913448839468e-11 4.493268475353876204e-10 8.614029629053640018e-11 6.509078976991510695e-11 3.182100796605625581e-11 3.801498199844178559e-11 4.097550710720581267e-10 7.930337046281868773e-11 6.612793768432391011e-11 3.271203704755656738e-11 3.658575270796954313e-10 7.507323805462676265e-11 6.702996070592189594e-11 3.208778761121417251e-10 7.821267898749508026e-11 2.836175177228082877e-10
7.000000000000000000e+00 3.235495313293626444e-10 7.375574543821763656e-11 2.626513289385708055e-11 9.153975938224374557e-12 9.844946757818499146e-12 3.505077707609949483e-12 4.417541732354980180e-12 3.198278636650020626e-12 2.577057058631787455e-12 2.169002895804255797e-12 4.502374547322294593e-10 1.087235179224247165e-10 5.126549775574423452e-11 1.761263301360539155e-11 1.799862958237109749e-11 9.647378797105516665e-12 1.046033824815865237e-11 6.749011068838335203e-12 5.044082598328662121e-12 4.793344613451472084e-10 1.072012777382569608e-10 5.862786817377170468e-11 2.206832871882767359e-11 2.817652382166219271e-11 1.286605715924644156e-11 1.356732513224379281e-11 8.868921241426550885e-12 4.909782190827529902e-10 9.986803061646863008e-11 6.308825121961274695e-11 2.920510488830900084e-11 3.604353875626724519e-11 1.658183291671592178e-11 1.578368870057857995e-11 4.819932754072221704e-10 9.491911144028956792e-11 6.377711428013188738e-11 2.884920771117406695e-11 3.962767772311338129e-11 1.703092549285870364e-11 4.544411635941885096e-10 8.648927436810728690e-11 6.655156614551016050e-11 3.136666611200477716e-11 3.888115098783385779e-11 4.166650023121772048e-10 8.002559041627743572e-11 6.781470668039831642e-11 3.224623802019028139e-11 3.754328877402894077e-10 7.643198987158419045e-11 6.878038302060421796e-11 3.318812172691393101e-10 7.912772293024296686e-11 2.948043540268181506e-10
8.000000000000000000e+00 3.233781360024720120e-10 7.011360455741100095e-11 2.601289338701607771e-11 8.864057370641182461e-12 1.022305847397641104e-11 3.444506047186596747e-12 4.512782395346004250e-12 3.081943818346087945e-12 2.613034333183158755e-12 2.099315007783374479e-12 4.485040130469733756e-10 1.041139418835765943e-10 5.134885404259446359e-11 1.729922488253717630e-11 1.884369251953061181e-11 9.336521602841716390e-12 1.074697049757310790e-11 6.491236682371655717e-12 5.215750102643970466e-12 4.780796753037369646e-10 1.038061877839124788e-10 5.956507273576038457e-11 2.175012323533664772e-11 2.891290712683106182e-11 1.251963241738323310e-11 1.382627846136274202e-11 8.835669575141026833e-12 4.893024240547183689e-10 9.742103399824026415e-11 6.439127957531453826e-11 2.825924532655093871e-11 3.683014363425175513e-11 1.617924969753315271e-11 1.606990828090823966e-11 4.816463944804692140e-10 9.366209241101882990e-11 6.533675511321123273e-11 2.841988443657026394e-11 4.009573676277189999e-11 1.676042520352725844e-11 4.564252105223900008e-10 8.658327480911788591e-11 6.772617151371356731e-11 3.085407124821557586e-11 3.943818527151507040e-11 4.202135587221184265e-10 8.048800366944293284e-11 6.909018377630162454e-11 3.176775254242429915e-11 3.812460822978308792e-10 7.746149316516927827e-11 7.004886619686482191e-11 3.391348697146896673e-10 7.972059040013470313e-11 3.024573960458328153e-10
9.000000000000000000e+00 3.217646301040713470e-10 6.700148970101765684e-11 2.580972129467454978e-11 8.616390531869876859e-12 1.051141857385598664e-11 3.384441709217397398e-12 4.584361561115465010e-12 2.973262076469459480e-12 2.632574782349907971e-12 2.033962433516860134e-12 4.452958143135167325e-10 1.001714805529360953e-10 5.141106545825328460e-11 1.700309367775158006e-11 1.952026787062343703e-11 9.037182064141901867e-12 1.095906864631599009e-11 6.264703458767066508e-12 5.338401406045640098e-12 4.752893597922764011e-10 1.007823605641367952e-10 6.028889103407569783e-11 2.140907540682596839e-11 2.946143718289690035e-11 1.221194657145382413e-11 1.400237771187544052e-11 8.783948474712489988e-12 4.859928849277087813e-10 9.518752291754894483e-11 6.536247002854443771e-11 2.737542832989145506e-11 3.735017918073102699e-11 1.579726865123918262e-11 1.623662584626840012e-11 4.793697345287418960e-10 9.240775542171953722e-11 6.653533276932579482e-11 2.796780249477223415e-11 4.033777874264233053e-11 1.646861071478674691e-11 4.560534732379242598e-10 8.648510757774206560e-11 6.859344151943842637e-11 3.030955415655888250e-11 3.973765756613900777e-11 4.212153237127784726e-10 8.073215451700303519e-11 6.998279615316510366e-11 3.128580707961955803e-11 3.841973427412986944e-10 7.820421356958021457e-11 7.089781060983109806e-11 3.434863063243111983e-10 8.004982609377115932e-11 3.073391362205385659e-10
1.000000000000000000e+01 3.190871724707836702e-10 6.431870427400258801e-11 2.562027907911517976e-11 8.401659386103917861e-12 1.072149615095832318e-11 3.326611487807660852e-12 4.633516333185801283e-12 2.872325836208325324e-12 2.638714204872328243e-12 1.972690291993167451e-12 4.409713957570903302e-10 9.675819943379455267e-11 5.141257914707530679e-11 1.671869349281063415e-11 2.004606001553804649e-11 8.754096995356190586e-12 1.110456223629813703e-11 6.062215772790216050e-12 5.419831706465597998e-12 4.713045306291970345e-10 9.807298848193965523e-11 6.079755545318535166e-11 2.105937683698032587e-11 2.983863889505549229e-11 1.193326363217668893e-11 1.410777514698622915e-11 8.715205268395906795e-12 4.814425630103357316e-10 9.314781842004853514e-11 6.603479782593752850e-11 2.655567167697809887e-11 3.764610251146717528e-11 1.543204656770708610e-11 1.631009541814487873e-11 4.756395634823930811e-10 9.117484063014930153e-11 6.739948366108555022e-11 2.750289780186176486e-11 4.039041084764786532e-11 1.616416376651859024e-11 4.539062438468430791e-10 8.624483904802494245e-11 6.917297337118938589e-11 2.975305982462065241e-11 3.983314685723088855e-11 4.202935536771869499e-10 8.080436480129771145e-11 7.054481982927693958e-11 3.080888169624196223e-11 3.849870522129490774e-10 7.871380882450061832e-11 7.140154636871792388e-11 3.456203806094442162e-10 8.017753794266854001e-11 3.100943720351940817e-10
