R	Gamma	E
1.00	0	-243.471658375354
1.00	10	-244.073478352596
1.00	20	-245.075822361851
1.00	30	-245.902097567484
1.00	40	-246.40737083151
1.00	50	-246.664109038611
1.00	60	-246.76659454389
1.00	70	-246.778795995116
1.00	80	-246.738016156077
1.00	90	-246.651171176001
1.00	100	-246.737444484906
1.00	110	-246.778573748978
1.00	120	-246.76896239671
1.00	130	-246.666466269192
1.00	140	-246.392759047083
1.00	150	-245.816388799111
1.00	160	-244.795038786925
1.00	170	-243.447306861369
1.00	180	-242.61921497453
1.10	0	-244.761169816683
1.10	10	-245.100744867236
1.10	20	-245.718734649452
1.10	30	-246.2529771404
1.10	40	-246.594400585203
1.10	50	-246.772679825685
1.10	60	-246.843510428892
1.10	70	-246.849211109322
1.10	80	-246.817460606681
1.10	90	-246.77754034079
1.10	100	-246.818387008188
1.10	110	-246.849790588665
1.10	120	-246.845605573939
1.10	130	-246.775692538065
1.10	140	-246.58965761467
1.10	150	-246.212552435777
1.10	160	-245.58579686379
1.10	170	-244.819683060606
1.10	180	-244.381743411854
1.20	0	-245.298052128106
1.20	10	-245.541647549892
1.20	20	-246.019565004545
1.20	30	-246.432988908665
1.20	40	-246.700170617759
1.20	50	-246.843207959171
1.20	60	-246.902965533088
1.20	70	-246.912607181335
1.20	80	-246.896386041705
1.20	90	-246.88095607641
1.20	100	-246.897656564393
1.20	110	-246.913803063471
1.20	120	-246.905136080567
1.20	130	-246.847060902468
1.20	140	-246.703006733542
1.20	150	-246.422789727106
1.20	160	-245.972516904254
1.20	170	-245.439200610056
1.20	180	-245.162515602469
1.30	0	-245.381273393994
1.30	10	-245.666030981815
1.30	20	-246.150372205198
1.30	30	-246.525402855439
1.30	40	-246.763720559835
1.30	50	-246.894622731106
1.30	60	-246.953474366461
1.30	70	-246.969870573238
1.30	80	-246.966339015338
1.30	90	-246.961759420585
1.30	100	-246.967510883681
1.30	110	-246.971263345251
1.30	120	-246.955487950166
1.30	130	-246.898360885991
1.30	140	-246.769550645559
1.30	150	-246.529613622206
1.30	160	-246.146577532266
1.30	170	-245.669635662403
1.30	180	-245.407920602415
1.40	0	-245.059508284022
1.40	10	-245.575390511738
1.40	20	-246.212207239993
1.40	30	-246.584528069428
1.40	40	-246.810568179299
1.40	50	-246.937962810536
1.40	60	-246.998181476949
1.40	70	-247.019811198221
1.40	80	-247.02370974629
1.40	90	-247.023574654129
1.40	100	-247.024700388354
1.40	110	-247.02118780674
1.40	120	-246.999840567236
1.40	130	-246.940564868159
1.40	140	-246.815236208236
1.40	150	-246.590413747405
1.40	160	-246.224163542332
1.40	170	-245.659120000514
1.40	180	-245.251180049996
1.50	0	-244.16613054277
1.50	10	-245.286582245531
1.50	20	-246.254787539212
1.50	30	-246.639567129259
1.50	40	-246.853929335602
1.50	50	-246.977913087277
1.50	60	-247.037730034076
1.50	70	-247.061431185585
1.50	80	-247.068767396122
1.50	90	-247.070328692208
1.50	100	-247.069634000822
1.50	110	-247.062690666263
1.50	120	-247.038915378748
1.50	130	-246.978960946444
1.50	140	-246.855107663653
1.50	150	-246.639890424845
1.50	160	-246.270508303843
1.50	170	-245.456573237557
1.50	180	-244.612282558099
1.60	0	-242.190348059916
1.60	10	-244.737792114666
1.60	20	-246.288452267114
1.60	30	-246.698350153389
1.60	40	-246.8976901962
1.60	50	-247.015188647748
1.60	60	-247.071852705635
1.60	70	-247.094982545057
1.60	80	-247.103188894429
1.60	90	-247.10547821445
1.60	100	-247.103958684508
1.60	110	-247.096063057526
1.60	120	-247.07258580228
1.60	130	-247.014789506715
1.60	140	-246.895048565452
1.60	150	-246.692176780289
1.60	160	-246.309155262407
1.60	170	-245.034272804927
1.60	180	-243.128389076397
1.70	0	-237.784511977727
1.70	10	-243.897701900899
1.70	20	-246.316207725085
1.70	30	-246.757044448683
1.70	40	-246.94063970573
1.70	50	-247.048971785531
1.70	60	-247.100388963529
1.70	70	-247.121372603236
1.70	80	-247.129223598629
1.70	90	-247.13139047687
1.70	100	-247.129882642308
1.70	110	-247.122265661513
1.70	120	-247.100739561754
1.70	130	-247.047465270392
1.70	140	-246.935031603987
1.70	150	-246.746660383253
1.70	160	-246.341606116344
1.70	170	-244.334230304734
1.70	180	-239.904563052138
1.80	0	-226.215123237443
1.80	10	-242.945578835753
1.80	20	-246.349712150924
1.80	30	-246.810501627315
1.80	40	-246.980374951032
1.80	50	-247.078430240919
1.80	60	-247.123608508557
1.80	70	-247.141839316965
1.80	80	-247.14855638563
1.80	90	-247.150419021776
1.80	100	-247.149105580185
1.80	110	-247.14255600595
1.80	120	-247.12364919603
1.80	130	-247.076163147302
1.80	140	-246.972856201787
1.80	150	-246.797964457833
1.80	160	-246.373975995407
1.80	170	-243.437538192524
1.80	180	-232.150464736843
1.90	10	-242.364840611435
1.90	20	-246.399579061303
1.90	30	-246.85597495174
1.90	40	-247.015307153477
1.90	50	-247.103280435361
1.90	60	-247.142180215709
1.90	70	-247.157322052766
1.90	80	-247.162805349207
1.90	90	-247.164333911444
1.90	100	-247.1632606498
1.90	110	-247.157882377268
1.90	120	-247.14198040479
1.90	130	-247.100519017149
1.90	140	-247.006656153415
1.90	150	-246.842230192343
1.90	160	-246.416586102436
1.90	170	-242.703099847499
2.00	10	-242.593852794605
2.00	20	-246.464935089704
2.00	30	-246.892768960936
2.00	40	-247.045009241608
2.00	50	-247.123799239786
2.00	60	-247.156613886782
2.00	70	-247.168894665437
2.00	80	-247.173248021892
2.00	90	-247.174455308826
2.00	100	-247.173621493912
2.00	110	-247.169321334945
2.00	120	-247.156254358926
2.00	130	-247.120740183332
2.00	140	-247.03567957937
2.00	150	-246.878019922451
2.00	160	-246.472934972588
2.00	170	-242.622678793066
2.10	0	-223.923586691632
2.10	10	-243.460854670849
2.10	20	-246.533503811267
2.10	30	-246.921487826485
2.10	40	-247.069907101388
2.10	50	-247.140248841743
2.10	60	-247.16765801265
2.10	70	-247.177478700135
2.10	80	-247.180850627254
2.10	90	-247.181777930956
2.10	100	-247.181153971133
2.10	110	-247.177794805774
2.10	120	-247.167182118817
2.10	130	-247.137077324792
2.10	140	-247.060159388342
2.10	150	-246.905553890766
2.10	160	-246.535471109269
2.10	170	-243.273055298745
2.10	180	-211.561752348123
2.20	0	-237.044540869034
2.20	10	-244.42282392159
2.20	20	-246.589704184748
2.20	30	-246.943612190214
2.20	40	-247.090476657244
2.20	50	-247.153255279765
2.20	60	-247.176035034445
2.20	70	-247.183788828728
2.20	80	-247.186349123711
2.20	90	-247.187045566442
2.20	100	-247.18659329205
2.20	110	-247.184015802002
2.20	120	-247.175485118258
2.20	130	-247.150050114974
2.20	140	-247.080547933921
2.20	150	-246.926202697708
2.20	160	-246.590726421248
2.20	170	-244.210100062079
2.20	180	-233.799738712293
2.30	0	-241.807481095424
2.30	10	-245.145148130265
2.30	20	-246.622870236559
2.30	30	-246.960965459224
2.30	40	-247.107543002579
2.30	50	-247.163492386559
2.30	60	-247.182330265516
2.30	70	-247.188389264372
2.30	80	-247.190298532067
2.30	90	-247.190810903514
2.30	100	-247.190493496067
2.30	110	-247.188546137864
2.30	120	-247.181741865204
2.30	130	-247.160326467498
2.30	140	-247.097558934407
2.30	150	-246.941789060229
2.30	160	-246.627307401908
2.30	170	-245.011553710948
2.30	180	-240.514968220408
2.40	0	-243.825250554331
2.40	10	-245.581805992385
2.40	20	-246.630885511418
2.40	30	-246.9759752876
2.40	40	-247.121880402777
2.40	50	-247.171519064176
2.40	60	-247.187023685086
2.40	70	-247.191715198968
2.40	80	-247.193114089264
2.40	90	-247.19348316902
2.40	100	-247.193268612321
2.40	110	-247.19181840568
2.40	120	-247.186425375444
2.40	130	-247.168454229618
2.40	140	-247.111989043192
2.40	150	-246.954860262094
2.40	160	-246.640585724261
2.40	170	-245.538130179949
2.40	180	-243.338878609653
2.50	0	-244.556551703305
2.50	10	-245.811831456228
2.50	20	-246.61902269728
2.50	30	-246.990841843117
2.50	40	-247.134107955044
2.50	50	-247.17779867982
2.50	60	-247.190497802449
2.50	70	-247.194098784411
2.50	80	-247.195104679773
2.50	90	-247.195364472494
2.50	100	-247.195226337088
2.50	110	-247.194162031055
2.50	120	-247.189911915792
2.50	130	-247.174885683791
2.50	140	-247.124457103154
2.50	150	-246.968070408406
2.50	160	-246.633729177235
2.50	170	-245.829474202221
2.50	180	-244.541100811555
2.60	0	-244.440661717476
2.60	10	-245.914828098935
2.60	20	-246.596360107759
2.60	30	-247.007071549213
2.60	40	-247.144642441777
2.60	50	-247.182705854811
2.60	60	-247.193051465536
2.60	70	-247.19579080795
2.60	80	-247.196499095737
2.60	90	-247.196677124279
2.60	100	-247.196594269779
2.60	110	-247.195825184069
2.60	120	-247.19249461605
2.60	130	-247.179984258924
2.60	140	-247.135419671615
2.60	150	-246.983483738175
2.60	160	-246.615852877776
2.60	170	-245.973077379925
2.60	180	-244.871220089668
2.70	0	-243.368997866226
2.70	10	-245.934083933087
2.70	20	-246.5684220229
2.70	30	-247.025174684818
2.70	40	-247.153693090074
2.70	50	-247.186537545547
2.70	60	-247.194915183467
2.70	70	-247.196979273292
2.70	80	-247.197465752841
2.70	90	-247.197583849778
2.70	100	-247.197539777992
2.70	110	-247.196993505081
2.70	120	-247.194398783908
2.70	130	-247.184035301104
2.70	140	-247.14505971632
2.70	150	-247.002000246744
2.70	160	-246.614844301112
2.70	170	-246.030736763256
2.70	180	-244.514392927977
2.80	0	-240.554887696136
2.80	10	-245.892505851901
2.80	20	-246.639147375865
2.80	30	-247.044701847382
2.80	40	-247.161486690708
2.80	50	-247.189526996716
2.80	60	-247.19626496671
2.80	70	-247.19780411009
2.80	80	-247.198127951614
2.80	90	-247.198202998792
2.80	100	-247.198185206592
2.80	110	-247.197804827878
2.80	120	-247.195795958011
2.80	130	-247.18726079765
2.80	140	-247.153526009644
2.80	150	-247.023112144124
2.80	160	-246.674668521378
2.80	170	-246.027934649589
2.80	180	-243.262646091495
2.90	0	-233.480803066865
2.90	10	-245.822010722578
2.90	20	-246.711228607548
2.90	30	-247.064658133263
2.90	40	-247.168187065692
2.90	50	-247.191856216838
2.90	60	-247.19723438483
2.90	70	-247.19836865069
2.90	80	-247.198575279916
2.90	90	-247.198620057952
2.90	100	-247.198619317286
2.90	110	-247.198360810607
2.90	120	-247.196816000021
2.90	130	-247.189832473691
2.90	140	-247.160957379458
2.90	150	-247.045364787651
2.90	160	-246.7439891563
2.90	170	-245.980123028236
2.90	180	-240.323925850839
3.00	0	-210.830216657477
3.00	10	-245.779021588424
3.00	20	-246.776285762429
3.00	30	-247.084055534814
3.00	40	-247.173911605636
3.00	50	-247.193666960674
3.00	60	-247.197924006878
3.00	70	-247.198748627789
3.00	80	-247.198872381096
3.00	90	-247.198896311494
3.00	100	-247.198906053738
3.00	110	-247.198735826941
3.00	120	-247.197556587138
3.00	130	-247.191883294681
3.00	140	-247.167442147334
3.00	150	-247.067243403614
3.00	160	-246.80858562404
3.00	170	-245.917226417907
3.00	180	-233.270181928582
3.10	10	-245.821361245293
3.10	20	-246.833055315986
3.10	30	-247.102045834835
3.10	40	-247.178761184291
3.10	50	-247.195070026324
3.10	60	-247.198409183326
