T	1->0	2->0	3->0	4->0	5->0	6->0	7->0	8->0	9->0	10->0	2->1	3->1	4->1	5->1	6->1	7->1	8->1	9->1	10->1	3->2	4->2	5->2	6->2	7->2	8->2	9->2	10->2	4->3	5->3	6->3	7->3	8->3	9->3	10->3	5->4	6->4	7->4	8->4	9->4	10->4	6->5	7->5	8->5	9->5	10->5	7->6	8->6	9->6	10->6	8->7	9->7	10->7	9->8	10->8	10->9	
1.000000000000000000e+00 1.699929390356325847e-10 9.071146980881922328e-11 4.321469082823786399e-11 2.837836209113589162e-11 1.570758819531689140e-11 9.457965194307008995e-12 4.039700284619146422e-12 3.164180903674476098e-12 2.953131593185431329e-12 1.513168960792396808e-12 2.957218163123517768e-10 1.731824260276069281e-10 8.466354305023323574e-11 5.892363544189459141e-11 2.876032147621812526e-11 2.027127925644530571e-11 9.980761716992101810e-12 8.738142362445435478e-12 6.608002862658139880e-12 3.210997214710296201e-10 1.824667922762010355e-10 1.078262259074852348e-10 6.423021839068375316e-11 3.107335416283179580e-11 1.599143791958887845e-11 1.274299445792832357e-11 1.132318743978636243e-11 3.677647402427361002e-10 1.957772791948489407e-10 1.206345747185595375e-10 6.515631697966555903e-11 3.037337201801225426e-11 1.835916185719074665e-11 1.831757620209116854e-11 3.844933137128804091e-10 2.011472586907637229e-10 1.256325344808022845e-10 6.851568888429490556e-11 3.290790166443520774e-11 2.174502453615821608e-11 3.959801563154198118e-10 2.085301959458184932e-10 1.288190250117328592e-10 6.564250603668876048e-11 3.394288118473068891e-11 4.058976568133183122e-10 2.053115609341191769e-10 1.240427334376930696e-10 6.465105510524205940e-11 4.073349367943595689e-10 2.089237389468518951e-10 1.244354412004703594e-10 4.080523957938159936e-10 2.000741971382273602e-10 3.968000816123992930e-10
2.000000000000000000e+00 2.174771905554718160e-10 1.027471466786290180e-10 4.601366904531384858e-11 2.559099972483356883e-11 1.223270113299928930e-11 7.699449808750602094e-12 3.679369507109837101e-12 3.204223096454132002e-12 2.312014335524880146e-12 2.216679931610769455e-12 3.485283287571147973e-10 1.814099107487960051e-10 8.327592514664291716e-11 4.840119633952137587e-11 2.379707068382610850e-11 1.715536133345715807e-11 8.384123909071652875e-12 1.020611027856982615e-11 5.454955128765442900e-12 3.835808910259758614e-10 1.971015160991922608e-10 1.024783056310382162e-10 5.427254324182037599e-11 2.691858765012846156e-11 1.534488963620264259e-11 1.145261367340667294e-11 1.220769743779493019e-11 4.153930770512157007e-10 2.114651140370887411e-10 1.144137520071519878e-10 5.472721682086713395e-11 2.621853731560504976e-11 1.827345314023289049e-11 1.525347007944906168e-11 4.325045476764300741e-10 2.180866846236673681e-10 1.185646369705344406e-10 5.833007333265973445e-11 2.849199074539793591e-11 2.077407935628800154e-11 4.442372963426009927e-10 2.222824664006120967e-10 1.209880319042031423e-10 5.551772252638350046e-11 3.174451325690907561e-11 4.553866349274195218e-10 2.227422460382254529e-10 1.168244260474754102e-10 5.639826606408783530e-11 4.628793379593499934e-10 2.261859238055348744e-10 1.152375776362413466e-10 4.684359541063369796e-10 2.219045981567486410e-10 4.656865174798574470e-10
3.000000000000000000e+00 2.530745379367679429e-10 1.085687121490399286e-10 4.393071810652058213e-11 2.252177684146761258e-11 1.053937624093049947e-11 6.645894912571543122e-12 3.694054071915541164e-12 3.472537619130742696e-12 2.018957159779970935e-12 2.699176101579585376e-12 3.854605194115610013e-10 1.815031951877009645e-10 7.758372922223280479e-11 4.096824569697721101e-11 2.095105370696876744e-11 1.567174435673978979e-11 7.723008778822683860e-12 1.072514323709137392e-11 4.968587324861262673e-12 4.232428994397491986e-10 1.997603639940083111e-10 9.386619662888597709e-11 4.730471571293407307e-11 2.484831450884208227e-11 1.560387498571820397e-11 1.079310368240404502e-11 1.243090288165644469e-11 4.486334897894644567e-10 2.148631958328364708e-10 1.055023035551770950e-10 4.853682861090733855e-11 2.441708945895971646e-11 1.848722174336001711e-11 1.393634148440661352e-11 4.657500822308510158e-10 2.222310876534848899e-10 1.091757638009417535e-10 5.211171246853774407e-11 2.648545853557701478e-11 2.091112410136515316e-11 4.770099751797457083e-10 2.238826775024708575e-10 1.124884839070056878e-10 4.985975491197526849e-11 3.009800868643270210e-11 4.888694276670387558e-10 2.255916751453037458e-10 1.092790255606620715e-10 5.157334306654691955e-11 4.974105851022197356e-10 2.283919413126807873e-10 1.082911109330949146e-10 5.046391639904377765e-10 2.253083761155241362e-10 5.049316609431577290e-10
4.000000000000000000e+00 2.803790792771340529e-10 1.104346918018535058e-10 4.120842637118543668e-11 2.014719812624341417e-11 9.641942034095622245e-12 6.024244995228070418e-12 3.777937005433882972e-12 3.683111915693347656e-12 1.864428142995251714e-12 2.925457904212467692e-12 4.134305045445951078e-10 1.783410183981720807e-10 7.242706137380553479e-11 3.607679306941195952e-11 1.931867865651454075e-11 1.477036736411608099e-11 7.502305818351466943e-12 1.091635160364273716e-11 4.727590868983797218e-12 4.524862175918585204e-10 1.981016779430982640e-10 8.686232216204899293e-11 4.259946724483675928e-11 2.363055795418340522e-11 1.593517343218456466e-11 1.055226894329007690e-11 1.252839291296554129e-11 4.747745804923706129e-10 2.134435445291197198e-10 9.835047160538572368e-11 4.460031886703510746e-11 2.360946100237212016e-11 1.863737098321299061e-11 1.344098848798019288e-11 4.917460412626344623e-10 2.211020912008663518e-10 1.016166344738370652e-10 4.807093571880939150e-11 2.560022832653494924e-11 2.136485095281747565e-11 5.024483854392401421e-10 2.210960834820593398e-10 1.057277955013361198e-10 4.662454381667874212e-11 2.907694567869155838e-11 5.144968501231465763e-10 2.236768578636974168e-10 1.034638497560539652e-10 4.857948983899514041e-11 5.230635716999442863e-10 2.257760393926001224e-10 1.035166631777502321e-10 5.307416623401355407e-10 2.230626283728213607e-10 5.323541429025625662e-10
5.000000000000000000e+00 3.013421115885389546e-10 1.100827226048381253e-10 3.877936742997424406e-11 1.830631196794739075e-11 9.130072786448036776e-12 5.627955249354197989e-12 3.861635412669539986e-12 3.801781136836418015e-12 1.774019571757821064e-12 3.011902438345322357e-12 4.347032093085359319e-10 1.737402940350047981e-10 6.827874988992660862e-11 3.268047250981707828e-11 1.836217905824520819e-11 1.413341499897419680e-11 7.518141094619923532e-12 1.099123864677948695e-11 4.623526233174464610e-12 4.745395650460378982e-10 1.943980655182238294e-10 8.154019065956410993e-11 3.922934219228906574e-11 2.289990640399780657e-11 1.623148489329376185e-11 1.057489811878697193e-11 1.257793079019228867e-11 4.950576546730095499e-10 2.097014911940018985e-10 9.288709873127470129e-11 4.185811336409251087e-11 2.333187723651681845e-11 1.872927841923288287e-11 1.333685152046469809e-11 5.119039952652341937e-10 2.173928730503385246e-10 9.594851489487113878e-11 4.528895317314868600e-11 2.533647450741544514e-11 2.189491675147510003e-11 5.220149938957119793e-10 2.163756564264220294e-10 1.005714446928877510e-10 4.460168293074926181e-11 2.856034593845573535e-11 5.340014978662025954e-10 2.196903056636901557e-10 9.915433039108537787e-11 4.662507478215517944e-11 5.421494515105705217e-10 2.211115008980293165e-10 1.002838613470911769e-10 5.499408360731103657e-10 2.186170084433234379e-10 5.521275024573090277e-10
6.000000000000000000e+00 3.172945496411425806e-10 1.085327293707259660e-10 3.678124255468483065e-11 1.683354537577985406e-11 8.822814589388824790e-12 5.355341339811833339e-12 3.942611965118057155e-12 3.850944711660715854e-12 1.719952084251340183e-12 3.030682555783563665e-12 4.506592292956401011e-10 1.685533585544503131e-10 6.502922958423545148e-11 3.019960702374800226e-11 1.781378175991202920e-11 1.365858696250802717e-11 7.663970056019304598e-12 1.100890366322993455e-11 4.608157177858474483e-12 4.910366063815562995e-10 1.897010296687384000e-10 7.752334575981917835e-11 3.668420924072979457e-11 2.249451955722601830e-11 1.647688175344686057e-11 1.075882402940772468e-11 1.259571665817098183e-11 5.104002938719261182e-10 2.048229965764547962e-10 8.873005876684685488e-11 3.981553626659416524e-11 2.338267240923842719e-11 1.878489807593167978e-11 1.343396987657712393e-11 5.271348517571882681e-10 2.124065953126605443e-10 9.178414666151757855e-11 4.326523655800416267e-11 2.543717352640027537e-11 2.239939317394613409e-11 5.366403938466428622e-10 2.108179817119050258e-10 9.666513357871692330e-11 4.320865653893823667e-11 2.839532036087951403e-11 5.484516112287489236e-10 2.147381925201541394e-10 9.597620037960493622e-11 4.527687958994969033e-11 5.559215555292521576e-10 2.155387541311927105e-10 9.810139970176710924e-11 5.637734512996917918e-10 2.132552023648090404e-10 5.661154254533807903e-10
7.000000000000000000e+00 3.291965423955859887e-10 1.063401976544034514e-10 3.516259528231622929e-11 1.562039501590017429e-11 8.629308539121124232e-12 5.155566367084725218e-12 4.023781740264104230e-12 3.854027163839841413e-12 1.688637610974675918e-12 3.016918761365977108e-12 4.622892177099856320e-10 1.631884566892608806e-10 6.248072247329110117e-11 2.830885228242953046e-11 1.751649250695794528e-11 1.329338460357266968e-11 7.874439035193086944e-12 1.098629801488293348e-11 4.648565064927208663e-12 5.030304946831397826e-10 1.845534388760684142e-10 7.445825173747478706e-11 3.467438185383169707e-11 2.230639819024058721e-11 1.666614987791394117e-11 1.103033833264079846e-11 1.258480465824916176e-11 5.215694407781280541e-10 1.994175219062523631e-10 8.553340397099796338e-11 3.820859663417636998e-11 2.362985098135921479e-11 1.880944601991083279e-11 1.363006480471163625e-11 5.381699777851632439e-10 2.068233538739487385e-10 8.871608906367340633e-11 4.170431880933241391e-11 2.573669610424307036e-11 2.282926090138248711e-11 5.470806524151035566e-10 2.049434850042668374e-10 9.367068989184477356e-11 4.215183862032133909e-11 2.844704248714370179e-11 5.586427098309961666e-10 2.093431584518066177e-10 9.359335791286470038e-11 4.427285469217221155e-11 5.652997119234974165e-10 2.096030642746066346e-10 9.659790468672539592e-11 5.732153466355011519e-10 2.075296924934063428e-10 5.754520688676272037e-10
8.000000000000000000e+00 3.377901012892273759e-10 1.038114720288511660e-10 3.384185365465427886e-11 1.459814536740930896e-11 8.500016482105725768e-12 5.001299061509818327e-12 4.104612657410553720e-12 3.827672505834429003e-12 1.671918588893701388e-12 2.986940738774271143e-12 4.703638323242436399e-10 1.578505722853803845e-10 6.045178791065580208e-11 2.681460443407350589e-11 1.737084444371111874e-11 1.300298189992260962e-11 8.108243641683672209e-12 1.093041580137547270e-11 4.720913320377567543e-12 5.113072562429389996e-10 1.792523705469833254e-10 7.207223315690443250e-11 3.302776193460461474e-11 2.225523683074626395e-11 1.679829435934893947e-11 1.133804949526673022e-11 1.254600740857960323e-11 5.292208886319468639e-10 1.938153920025262210e-10 8.302606707286935903e-11 3.688469487244275459e-11 2.397833746643282734e-11 1.880185416313898681e-11 1.386553331962262535e-11 5.456433201261019196e-10 2.010141914643183803e-10 8.641247301638896962e-11 4.042992686928972039e-11 2.612612800666420840e-11 2.316510952924243423e-11 5.539902177731213421e-10 1.990132039108505135e-10 9.131943693695157555e-11 4.127868881491836168e-11 2.861550850005347498e-11 5.652419868337342617e-10 2.037798724262425993e-10 9.174866922412653264e-11 4.345769517811113871e-11 5.710434084891452187e-10 2.035885502763481645e-10 9.551295903210794323e-11 5.790224590165916780e-10 2.017106964246922673e-10 5.809945188401160232e-10
9.000000000000000000e+00 3.436818534230875799e-10 1.011230735842427385e-10 3.274729990320902655e-11 1.372199045196149003e-11 8.406754667069289325e-12 4.876976092303849639e-12 4.182755126004274261e-12 3.782833615321012251e-12 1.664470066146502048e-12 2.948484940406318466e-12 4.755201243246706880e-10 1.526482910727157026e-10 5.880025600673817351e-11 2.559662443454521813e-11 1.731317578804937348e-11 1.276329616358257319e-11 8.340471246889595129e-12 1.084664159693190798e-11 4.808881934927307858e-12 5.165154275342611398e-10 1.739681903998344446e-10 7.016837509833055317e-11 3.163854548169095546e-11 2.228320045469671906e-11 1.687628747720885732e-11 1.164893789704247937e-11 1.248101747494994287e-11 5.339356734497055255e-10 1.882056967189356403e-10 8.100881605998377907e-11 3.575243069576540088e-11 2.436323027063407442e-11 1.876159374253419654e-11 1.410607899664244667e-11 5.501307938519770866e-10 1.951901011971922327e-10 8.463000238707482233e-11 3.933800263675085316e-11 2.653767622451562265e-11 2.340506868210525265e-11 5.579576682801289306e-10 1.931678302937748663e-10 8.941585875731237549e-11 4.050937210620905707e-11 2.883435016199964853e-11 5.688498578284881980e-10 1.982081474424424464e-10 9.026209095477048034e-11 4.274392749156498865e-11 5.738152346761662974e-10 1.976542095754914502e-10 9.467667413582934667e-11 5.818479517689592198e-10 1.959477999138730006e-10 5.834664093755768503e-10
1.000000000000000000e+01 3.473806519091135125e-10 9.838158070286667047e-11 3.182385121420181207e-11 1.296144772975295654e-11 8.333242538149204296e-12 4.773380310475720395e-12 4.255836134346227664e-12 3.726649327006579509e-12 1.662753955861963052e-12 2.905452036253680619e-12 4.782994633789717627e-10 1.476410670129012474e-10 5.742202300256312761e-11 2.457798097793295870e-11 1.730333998637604780e-11 1.255806591410640988e-11 8.557361104930488427e-12 1.074035706224049673e-11 4.902021621780099579e-12 5.192130997966024547e-10 1.688017410931806987e-10 6.860884173741784749e-11 3.043964427244838952e-11 2.235087262619162916e-11 1.690596865102713268e-11 1.194372280058702351e-11 1.239278407073113488e-11 5.362324282849342513e-10 1.827014212218078732e-10 7.934051833323991637e-11 3.475600910353633741e-11 2.474368005978552066e-11 1.869043608144928109e-11 1.433310794494238159e-11 5.521563368633474701e-10 1.894750163284028975e-10 8.320006264138428376e-11 3.836790816337635867e-11 2.693229964195368345e-11 2.355671626380430356e-11 5.595126746734968083e-10 1.874883859835430631e-10 8.782431651504626745e-11 3.980245612320816140e-11 2.906308989189460041e-11 5.700104905906399312e-10 1.927281267028258791e-10 8.901393598477905801e-11 4.208514134777095031e-11 5.741960251512487516e-10 1.918932921737905785e-10 9.398425348415725320e-11 5.822689064210308197e-10 1.903314124563730871e-10 5.834931640834920022e-10
