I1 F1 I2 F2 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100
1 3 1 1 3.55392e-10 4.54755e-10 5.00457e-10 5.19511e-10 5.24209e-10 5.21047e-10 5.13494e-10 5.03472e-10 4.92097e-10 4.80056e-10 4.67780e-10 4.55553e-10 4.43556e-10 4.31907e-10 4.20678e-10 4.09908e-10 3.99615e-10 3.89802e-10 3.80461e-10 3.71576e-10 3.63128e-10 3.55096e-10 3.47455e-10 3.40181e-10 3.33252e-10 3.26645e-10 3.20338e-10 3.14310e-10 3.08543e-10 3.03019e-10 2.97721e-10 2.92633e-10 2.87743e-10 2.83037e-10 2.78502e-10 2.74129e-10 2.69907e-10 2.65827e-10 2.61881e-10 2.58060e-10 2.54359e-10 2.50770e-10 2.47286e-10 2.43904e-10 2.40617e-10 2.37421e-10 2.34312e-10 2.31285e-10 2.28337e-10 2.25464e-10 2.22662e-10 2.19930e-10 2.17264e-10 2.14661e-10 2.12119e-10 2.09636e-10 2.07209e-10 2.04836e-10 2.02516e-10 2.00246e-10 1.98025e-10 1.95852e-10 1.93723e-10 1.91639e-10 1.89598e-10 1.87598e-10 1.85638e-10 1.83717e-10 1.81834e-10 1.79987e-10 1.78176e-10 1.76399e-10 1.74656e-10 1.72946e-10 1.71267e-10 1.69619e-10 1.68002e-10 1.66413e-10 1.64853e-10 1.63321e-10 1.61815e-10 1.60336e-10 1.58883e-10 1.57455e-10 1.56051e-10 1.54671e-10 1.53314e-10 1.51980e-10 1.50668e-10 1.49377e-10 1.48108e-10 1.46859e-10 1.45631e-10 1.44422e-10 1.43232e-10 1.42061e-10 1.40909e-10 1.39774e-10 1.38657e-10 1.37557e-10
1 5 1 1 1.13279e-10 1.53388e-10 1.54580e-10 1.47975e-10 1.40032e-10 1.32304e-10 1.25168e-10 1.18688e-10 1.12831e-10 1.07544e-10 1.02770e-10 9.84547e-11 9.45480e-11 9.10062e-11 8.77897e-11 8.48631e-11 8.21951e-11 7.97573e-11 7.75248e-11 7.54752e-11 7.35886e-11 7.18474e-11 7.02357e-11 6.87397e-11 6.73471e-11 6.60469e-11 6.48294e-11 6.36860e-11 6.26093e-11 6.15925e-11 6.06297e-11 5.97156e-11 5.88457e-11 5.80158e-11 5.72223e-11 5.64621e-11 5.57321e-11 5.50299e-11 5.43533e-11 5.37003e-11 5.30690e-11 5.24579e-11 5.18655e-11 5.12906e-11 5.07320e-11 5.01888e-11 4.96599e-11 4.91446e-11 4.86420e-11 4.81516e-11 4.76727e-11 4.72047e-11 4.67472e-11 4.62996e-11 4.58615e-11 4.54326e-11 4.50124e-11 4.46007e-11 4.41970e-11 4.38013e-11 4.34130e-11 4.30321e-11 4.26583e-11 4.22913e-11 4.19310e-11 4.15771e-11 4.12295e-11 4.08880e-11 4.05525e-11 4.02227e-11 3.98985e-11 3.95798e-11 3.92665e-11 3.89583e-11 3.86553e-11 3.83572e-11 3.80639e-11 3.77754e-11 3.74915e-11 3.72122e-11 3.69372e-11 3.66666e-11 3.64002e-11 3.61379e-11 3.58797e-11 3.56254e-11 3.53750e-11 3.51284e-11 3.48855e-11 3.46462e-11 3.44105e-11 3.41783e-11 3.39495e-11 3.37240e-11 3.35018e-11 3.32828e-11 3.30670e-11 3.28542e-11 3.26444e-11 3.24376e-11
1 7 1 1 2.22984e-11 4.26255e-11 4.89036e-11 5.11069e-11 5.19997e-11 5.23785e-11 5.25165e-11 5.25222e-11 5.24456e-11 5.23146e-11 5.21477e-11 5.19582e-11 5.17563e-11 5.15491e-11 5.13417e-11 5.11374e-11 5.09380e-11 5.07442e-11 5.05559e-11 5.03726e-11 5.01932e-11 5.00166e-11 4.98416e-11 4.96670e-11 4.94917e-11 4.93147e-11 4.91351e-11 4.89520e-11 4.87650e-11 4.85735e-11 4.83772e-11 4.81759e-11 4.79693e-11 4.77575e-11 4.75404e-11 4.73182e-11 4.70910e-11 4.68590e-11 4.66224e-11 4.63814e-11 4.61363e-11 4.58875e-11 4.56351e-11 4.53795e-11 4.51210e-11 4.48598e-11 4.45963e-11 4.43308e-11 4.40636e-11 4.37948e-11 4.35248e-11 4.32538e-11 4.29821e-11 4.27099e-11 4.24374e-11 4.21649e-11 4.18924e-11 4.16202e-11 4.13485e-11 4.10774e-11 4.08071e-11 4.05377e-11 4.02693e-11 4.00022e-11 3.97363e-11 3.94718e-11 3.92087e-11 3.89473e-11 3.86875e-11 3.84294e-11 3.81731e-11 3.79187e-11 3.76661e-11 3.74155e-11 3.71670e-11 3.69204e-11 3.66759e-11 3.64335e-11 3.61933e-11 3.59552e-11 3.57192e-11 3.54855e-11 3.52539e-11 3.50246e-11 3.47974e-11 3.45725e-11 3.43497e-11 3.41292e-11 3.39109e-11 3.36948e-11 3.34809e-11 3.32692e-11 3.30596e-11 3.28522e-11 3.26470e-11 3.24440e-11 3.22430e-11 3.20442e-11 3.18475e-11 3.16529e-11
1 9 1 1 2.88154e-12 1.26075e-11 2.22536e-11 3.01226e-11 3.59931e-11 4.01947e-11 4.31300e-11 4.51334e-11 4.64552e-11 4.72780e-11 4.77342e-11 4.79205e-11 4.79082e-11 4.77500e-11 4.74851e-11 4.71429e-11 4.67456e-11 4.63096e-11 4.58473e-11 4.53680e-11 4.48784e-11 4.43839e-11 4.38880e-11 4.33937e-11 4.29028e-11 4.24167e-11 4.19365e-11 4.14628e-11 4.09961e-11 4.05366e-11 4.00844e-11 3.96395e-11 3.92020e-11 3.87718e-11 3.83488e-11 3.79328e-11 3.75237e-11 3.71214e-11 3.67258e-11 3.63366e-11 3.59538e-11 3.55773e-11 3.52069e-11 3.48424e-11 3.44838e-11 3.41309e-11 3.37837e-11 3.34420e-11 3.31057e-11 3.27748e-11 3.24490e-11 3.21284e-11 3.18129e-11 3.15022e-11 3.11965e-11 3.08955e-11 3.05992e-11 3.03076e-11 3.00205e-11 2.97378e-11 2.94595e-11 2.91856e-11 2.89158e-11 2.86503e-11 2.83888e-11 2.81314e-11 2.78779e-11 2.76283e-11 2.73825e-11 2.71405e-11 2.69022e-11 2.66675e-11 2.64363e-11 2.62087e-11 2.59845e-11 2.57637e-11 2.55462e-11 2.53320e-11 2.51210e-11 2.49131e-11 2.47084e-11 2.45066e-11 2.43079e-11 2.41121e-11 2.39191e-11 2.37290e-11 2.35417e-11 2.33571e-11 2.31752e-11 2.29959e-11 2.28191e-11 2.26450e-11 2.24733e-11 2.23040e-11 2.21371e-11 2.19726e-11 2.18105e-11 2.16505e-11 2.14929e-11 2.13374e-11
1 11 1 1 3.63220e-13 4.97684e-12 1.27685e-11 2.00876e-11 2.58626e-11 3.02067e-11 3.34475e-11 3.58677e-11 3.76745e-11 3.90157e-11 3.99987e-11 4.07037e-11 4.11915e-11 4.15094e-11 4.16942e-11 4.17750e-11 4.17745e-11 4.17104e-11 4.15968e-11 4.14446e-11 4.12625e-11 4.10569e-11 4.08332e-11 4.05953e-11 4.03464e-11 4.00890e-11 3.98248e-11 3.95556e-11 3.92823e-11 3.90060e-11 3.87273e-11 3.84469e-11 3.81653e-11 3.78829e-11 3.76000e-11 3.73169e-11 3.70339e-11 3.67511e-11 3.64688e-11 3.61872e-11 3.59064e-11 3.56266e-11 3.53479e-11 3.50705e-11 3.47944e-11 3.45197e-11 3.42467e-11 3.39753e-11 3.37057e-11 3.34379e-11 3.31720e-11 3.29082e-11 3.26464e-11 3.23867e-11 3.21292e-11 3.18740e-11 3.16210e-11 3.13704e-11 3.11221e-11 3.08762e-11 3.06327e-11 3.03916e-11 3.01531e-11 2.99170e-11 2.96834e-11 2.94523e-11 2.92237e-11 2.89977e-11 2.87742e-11 2.85532e-11 2.83347e-11 2.81187e-11 2.79053e-11 2.76943e-11 2.74858e-11 2.72798e-11 2.70763e-11 2.68752e-11 2.66766e-11 2.64804e-11 2.62865e-11 2.60951e-11 2.59059e-11 2.57192e-11 2.55347e-11 2.53525e-11 2.51726e-11 2.49949e-11 2.48195e-11 2.46462e-11 2.44751e-11 2.43062e-11 2.41393e-11 2.39745e-11 2.38118e-11 2.36512e-11 2.34925e-11 2.33358e-11 2.31811e-11 2.30283e-11
1 13 1 1 6.31180e-14 1.54884e-12 4.51258e-12 7.83136e-12 1.09596e-11 1.36830e-11 1.59504e-11 1.77854e-11 1.92407e-11 2.03764e-11 2.12497e-11 2.19112e-11 2.24036e-11 2.27621e-11 2.30152e-11 2.31857e-11 2.32915e-11 2.33468e-11 2.33628e-11 2.33481e-11 2.33095e-11 2.32521e-11 2.31799e-11 2.30962e-11 2.30032e-11 2.29029e-11 2.27966e-11 2.26855e-11 2.25705e-11 2.24523e-11 2.23313e-11 2.22081e-11 2.20829e-11 2.19561e-11 2.18279e-11 2.16985e-11 2.15681e-11 2.14369e-11 2.13049e-11 2.11723e-11 2.10393e-11 2.09059e-11 2.07723e-11 2.06385e-11 2.05047e-11 2.03709e-11 2.02372e-11 2.01037e-11 1.99705e-11 1.98376e-11 1.97051e-11 1.95732e-11 1.94417e-11 1.93109e-11 1.91806e-11 1.90511e-11 1.89224e-11 1.87944e-11 1.86673e-11 1.85410e-11 1.84157e-11 1.82912e-11 1.81678e-11 1.80453e-11 1.79239e-11 1.78035e-11 1.76841e-11 1.75658e-11 1.74486e-11 1.73325e-11 1.72175e-11 1.71037e-11 1.69909e-11 1.68793e-11 1.67689e-11 1.66596e-11 1.65514e-11 1.64443e-11 1.63385e-11 1.62337e-11 1.61301e-11 1.60276e-11 1.59263e-11 1.58261e-11 1.57270e-11 1.56290e-11 1.55321e-11 1.54363e-11 1.53416e-11 1.52480e-11 1.51555e-11 1.50640e-11 1.49735e-11 1.48842e-11 1.47958e-11 1.47085e-11 1.46221e-11 1.45368e-11 1.44524e-11 1.43691e-11
1 15 1 1 2.95980e-15 2.80893e-13 1.46069e-12 3.51318e-12 6.07548e-12 8.81664e-12 1.15144e-11 1.40422e-11 1.63395e-11 1.83869e-11 2.01885e-11 2.17601e-11 2.31228e-11 2.42991e-11 2.53108e-11 2.61780e-11 2.69186e-11 2.75486e-11 2.80818e-11 2.85302e-11 2.89042e-11 2.92127e-11 2.94635e-11 2.96633e-11 2.98179e-11 2.99324e-11 3.00114e-11 3.00586e-11 3.00775e-11 3.00712e-11 3.00423e-11 2.99933e-11 2.99263e-11 2.98432e-11 2.97457e-11 2.96354e-11 2.95137e-11 2.93817e-11 2.92407e-11 2.90917e-11 2.89356e-11 2.87732e-11 2.86053e-11 2.84327e-11 2.82559e-11 2.80756e-11 2.78922e-11 2.77062e-11 2.75182e-11 2.73284e-11 2.71372e-11 2.69450e-11 2.67521e-11 2.65588e-11 2.63652e-11 2.61717e-11 2.59784e-11 2.57856e-11 2.55933e-11 2.54018e-11 2.52112e-11 2.50216e-11 2.48331e-11 2.46459e-11 2.44600e-11 2.42755e-11 2.40925e-11 2.39110e-11 2.37311e-11 2.35529e-11 2.33764e-11 2.32017e-11 2.30287e-11 2.28575e-11 2.26881e-11 2.25206e-11 2.23549e-11 2.21911e-11 2.20292e-11 2.18692e-11 2.17111e-11 2.15548e-11 2.14005e-11 2.12480e-11 2.10974e-11 2.09487e-11 2.08018e-11 2.06568e-11 2.05137e-11 2.03723e-11 2.02328e-11 2.00950e-11 1.99591e-11 1.98248e-11 1.96924e-11 1.95617e-11 1.94326e-11 1.93053e-11 1.91796e-11 1.90556e-11
1 17 1 1 1.62207e-16 5.83635e-14 4.54398e-13 1.30596e-12 2.48363e-12 3.81720e-12 5.17958e-12 6.49461e-12 7.72425e-12 8.85456e-12 9.88535e-12 1.08234e-11 1.16783e-11 1.24603e-11 1.31791e-11 1.38430e-11 1.44592e-11 1.50336e-11 1.55709e-11 1.60748e-11 1.65484e-11 1.69940e-11 1.74135e-11 1.78084e-11 1.81801e-11 1.85294e-11 1.88574e-11 1.91649e-11 1.94526e-11 1.97212e-11 1.99714e-11 2.02040e-11 2.04194e-11 2.06184e-11 2.08016e-11 2.09697e-11 2.11233e-11 2.12629e-11 2.13892e-11 2.15028e-11 2.16043e-11 2.16943e-11 2.17732e-11 2.18417e-11 2.19004e-11 2.19496e-11 2.19899e-11 2.20217e-11 2.20457e-11 2.20620e-11 2.20713e-11 2.20739e-11 2.20701e-11 2.20604e-11 2.20452e-11 2.20246e-11 2.19992e-11 2.19691e-11 2.19347e-11 2.18962e-11 2.18540e-11 2.18082e-11 2.17591e-11 2.17069e-11 2.16518e-11 2.15941e-11 2.15339e-11 2.14714e-11 2.14068e-11 2.13402e-11 2.12717e-11 2.12017e-11 2.11300e-11 2.10570e-11 2.09827e-11 2.09072e-11 2.08307e-11 2.07532e-11 2.06748e-11 2.05956e-11 2.05158e-11 2.04353e-11 2.03543e-11 2.02729e-11 2.01910e-11 2.01088e-11 2.00263e-11 1.99436e-11 1.98608e-11 1.97778e-11 1.96947e-11 1.96116e-11 1.95284e-11 1.94454e-11 1.93624e-11 1.92795e-11 1.91967e-11 1.91141e-11 1.90317e-11 1.89496e-11
1 19 1 1 2.49050e-17 2.82867e-14 2.73824e-13 8.18543e-13 1.54699e-12 2.33474e-12 3.10283e-12 3.81025e-12 4.43982e-12 4.98797e-12 5.45828e-12 5.85772e-12 6.19450e-12 6.47685e-12 6.71247e-12 6.90823e-12 7.07014e-12 7.20334e-12 7.31219e-12 7.40036e-12 7.47094e-12 7.52650e-12 7.56919e-12 7.60084e-12 7.62296e-12 7.63683e-12 7.64354e-12 7.64400e-12 7.63899e-12 7.62920e-12 7.61520e-12 7.59749e-12 7.57652e-12 7.55266e-12 7.52625e-12 7.49759e-12 7.46694e-12 7.43454e-12 7.40061e-12 7.36532e-12 7.32884e-12 7.29134e-12 7.25295e-12 7.21379e-12 7.17398e-12 7.13362e-12 7.09281e-12 7.05164e-12 7.01017e-12 6.96849e-12 6.92666e-12 6.88473e-12 6.84277e-12 6.80081e-12 6.75892e-12 6.71712e-12 6.67545e-12 6.63395e-12 6.59265e-12 6.55158e-12 6.51076e-12 6.47022e-12 6.42997e-12 6.39004e-12 6.35043e-12 6.31117e-12 6.27227e-12 6.23374e-12 6.19559e-12 6.15782e-12 6.12046e-12 6.08349e-12 6.04693e-12 6.01078e-12 5.97505e-12 5.93973e-12 5.90484e-12 5.87036e-12 5.83631e-12 5.80267e-12 5.76946e-12 5.73667e-12 5.70430e-12 5.67234e-12 5.64080e-12 5.60966e-12 5.57894e-12 5.54862e-12 5.51871e-12 5.48919e-12 5.46007e-12 5.43134e-12 5.40299e-12 5.37503e-12 5.34744e-12 5.32022e-12 5.29338e-12 5.26689e-12 5.24077e-12 5.21499e-12
1 21 1 1 2.85809e-18 1.57389e-14 2.73960e-13 1.11803e-12 2.55592e-12 4.37911e-12 6.36893e-12 8.36749e-12 1.02795e-11 1.20557e-11 1.36767e-11 1.51406e-11 1.64548e-11 1.76315e-11 1.86843e-11 1.96268e-11 2.04715e-11 2.12298e-11 2.19117e-11 2.25258e-11 2.30795e-11 2.35793e-11 2.40305e-11 2.44379e-11 2.48054e-11 2.51367e-11 2.54347e-11 2.57023e-11 2.59417e-11 2.61551e-11 2.63444e-11 2.65115e-11 2.66577e-11 2.67846e-11 2.68936e-11 2.69858e-11 2.70623e-11 2.71243e-11 2.71727e-11 2.72084e-11 2.72323e-11 2.72451e-11 2.72477e-11 2.72407e-11 2.72248e-11 2.72006e-11 2.71687e-11 2.71297e-11 2.70839e-11 2.70320e-11 2.69743e-11 2.69114e-11 2.68435e-11 2.67711e-11 2.66945e-11 2.66141e-11 2.65301e-11 2.64429e-11 2.63526e-11 2.62597e-11 2.61642e-11 2.60665e-11 2.59667e-11 2.58651e-11 2.57618e-11 2.56569e-11 2.55508e-11 2.54434e-11 2.53350e-11 2.52257e-11 2.51155e-11 2.50047e-11 2.48934e-11 2.47815e-11 2.46693e-11 2.45568e-11 2.44441e-11 2.43312e-11 2.42183e-11 2.41054e-11 2.39926e-11 2.38799e-11 2.37674e-11 2.36550e-11 2.35430e-11 2.34313e-11 2.33199e-11 2.32090e-11 2.30984e-11 2.29883e-11 2.28787e-11 2.27696e-11 2.26610e-11 2.25530e-11 2.24455e-11 2.23387e-11 2.22324e-11 2.21268e-11 2.20218e-11 2.19174e-11
