T	1->0	2->0	2->1	3->0	3->1	3->2	4->0	4->1	4->2	4->3	5->0	5->1	5->2	5->3	5->4	6->0	6->1	6->2	6->3	6->4	6->5	7->0	7->1	7->2	7->3	7->4	7->5	7->6	8->0	8->1	8->2	8->3	8->4	8->5	8->6	8->7	9->0	9->1	9->2	9->3	9->4	9->5	9->6	9->7	9->8	10->0	10->1	10->2	10->3	10->4	10->5	10->6	10->7	10->8	10->9	
1.000000000000000000e+00 1.699929390356322745e-10 9.071146980881923620e-11 2.957218163123523455e-10 4.321469082823792215e-11 1.731824260276069023e-10 3.210997214710296201e-10 2.837836209113594978e-11 8.466354305023326159e-11 1.824667922762011130e-10 3.677647402427357900e-10 1.570758819531687848e-11 5.892363544189468188e-11 1.078262259074854416e-10 1.957772791948490441e-10 3.844933137128803574e-10 9.457965194306999301e-12 2.876032147621818988e-11 6.423021839068383070e-11 1.206345747185597443e-10 2.011472586907640589e-10 3.959801563154198118e-10 4.039700284619148846e-12 2.027127925644532510e-11 3.107335416283185396e-11 6.515631697966563658e-11 1.256325344808022328e-10 2.085301959458188292e-10 4.058976568133186741e-10 3.164180903674478925e-12 9.980761716992111504e-12 1.599143791958886229e-11 3.037337201801222195e-11 6.851568888429497018e-11 1.288190250117329368e-10 2.053115609341195905e-10 4.073349367943592071e-10 2.953131593185429714e-12 8.738142362445456480e-12 1.274299445792834134e-11 1.835916185719074665e-11 3.290790166443513019e-11 6.564250603668881218e-11 1.240427334376930696e-10 2.089237389468523345e-10 4.080523957938161487e-10 1.513168960792397414e-12 6.608002862658151189e-12 1.132318743978638181e-11 1.831757620209119439e-11 2.174502453615823223e-11 3.394288118473076646e-11 6.465105510524200770e-11 1.244354412004704111e-10 2.000741971382271275e-10 3.968000816123996032e-10
2.000000000000000000e+00 2.174771905554721004e-10 1.027471466786290568e-10 3.485283287571152109e-10 4.601366904531399075e-11 1.814099107487962119e-10 3.835808910259774124e-10 2.559099972483360114e-11 8.327592514664285254e-11 1.971015160991925451e-10 4.153930770512160109e-10 1.223270113299930384e-11 4.840119633952145988e-11 1.024783056310383971e-10 2.114651140370887411e-10 4.325045476764305911e-10 7.699449808750598862e-12 2.379707068382616666e-11 5.427254324182044062e-11 1.144137520071521041e-10 2.180866846236673681e-10 4.442372963426013546e-10 3.679369507109833062e-12 1.715536133345718069e-11 2.691858765012851003e-11 5.472721682086726966e-11 1.185646369705345440e-10 2.222824664006124069e-10 4.553866349274195735e-10 3.204223096454141695e-12 8.384123909071654491e-12 1.534488963620261997e-11 2.621853731560506269e-11 5.833007333265982492e-11 1.209880319042032198e-10 2.227422460382257113e-10 4.628793379593496315e-10 2.312014335524879742e-12 1.020611027856981807e-11 1.145261367340667132e-11 1.827345314023290018e-11 2.849199074539790037e-11 5.551772252638353277e-11 1.168244260474754361e-10 2.261859238055346935e-10 4.684359541063373932e-10 2.216679931610772686e-12 5.454955128765458248e-12 1.220769743779493503e-11 1.525347007944903906e-11 2.077407935628800477e-11 3.174451325690910146e-11 5.639826606408790638e-11 1.152375776362413983e-10 2.219045981567488220e-10 4.656865174798579640e-10
3.000000000000000000e+00 2.530745379367684082e-10 1.085687121490401613e-10 3.854605194115623455e-10 4.393071810652060151e-11 1.815031951877009645e-10 4.232428994397498706e-10 2.252177684146759642e-11 7.758372922223295988e-11 1.997603639940082077e-10 4.486334897894656458e-10 1.053937624093053017e-11 4.096824569697718516e-11 9.386619662888615803e-11 2.148631958328371946e-10 4.657500822308522566e-10 6.645894912571555239e-12 2.095105370696881591e-11 4.730471571293404722e-11 1.055023035551771208e-10 2.222310876534850192e-10 4.770099751797475695e-10 3.694054071915545203e-12 1.567174435673979625e-11 2.484831450884211782e-11 4.853682861090732562e-11 1.091757638009418181e-10 2.238826775024711936e-10 4.888694276670391694e-10 3.472537619130741485e-12 7.723008778822691938e-12 1.560387498571820397e-11 2.441708945895969061e-11 5.211171246853787978e-11 1.124884839070058041e-10 2.255916751453041852e-10 4.974105851022191152e-10 2.018957159779972147e-12 1.072514323709138684e-11 1.079310368240400624e-11 1.848722174336003004e-11 2.648545853557707617e-11 4.985975491197538481e-11 1.092790255606622395e-10 2.283919413126807356e-10 5.046391639904381901e-10 2.699176101579593858e-12 4.968587324861271559e-12 1.243090288165647538e-11 1.393634148440661675e-11 2.091112410136522748e-11 3.009800868643274087e-11 5.157334306654721681e-11 1.082911109330952507e-10 2.253083761155245240e-10 5.049316609431581426e-10
4.000000000000000000e+00 2.803790792771338978e-10 1.104346918018536609e-10 4.134305045445956248e-10 4.120842637118533328e-11 1.783410183981723134e-10 4.524862175918584170e-10 2.014719812624341740e-11 7.242706137380544432e-11 1.981016779430981864e-10 4.747745804923715435e-10 9.641942034095620629e-12 3.607679306941201122e-11 8.686232216204905755e-11 2.134435445291192028e-10 4.917460412626353929e-10 6.024244995228073649e-12 1.931867865651450520e-11 4.259946724483671404e-11 9.835047160538581415e-11 2.211020912008657315e-10 5.024483854392411761e-10 3.777937005433888627e-12 1.477036736411605514e-11 2.363055795418342138e-11 4.460031886703513331e-11 1.016166344738369101e-10 2.210960834820599860e-10 5.144968501231470933e-10 3.683111915693346040e-12 7.502305818351473405e-12 1.593517343218456142e-11 2.360946100237211693e-11 4.807093571880939150e-11 1.057277955013358871e-10 2.236768578636976753e-10 5.230635716999450101e-10 1.864428142995254945e-12 1.091635160364270000e-11 1.055226894329006236e-11 1.863737098321300031e-11 2.560022832653491693e-11 4.662454381667866457e-11 1.034638497560536291e-10 2.257760393925999931e-10 5.307416623401348169e-10 2.925457904212468500e-12 4.727590868983800449e-12 1.252839291296554613e-11 1.344098848798022196e-11 2.136485095281746595e-11 2.907694567869157777e-11 4.857948983899514041e-11 1.035166631777502579e-10 2.230626283728218518e-10 5.323541429025625662e-10
5.000000000000000000e+00 3.013421115885397817e-10 1.100827226048382803e-10 4.347032093085351048e-10 3.877936742997423114e-11 1.737402940350047723e-10 4.745395650460373812e-10 1.830631196794739398e-11 6.827874988992667325e-11 1.943980655182239328e-10 4.950576546730087227e-10 9.130072786448054548e-12 3.268047250981710413e-11 8.154019065956409701e-11 2.097014911940016142e-10 5.119039952652341937e-10 5.627955249354189911e-12 1.836217905824521465e-11 3.922934219228918206e-11 9.288709873127461081e-11 2.173928730503383437e-10 5.220149938957119793e-10 3.861635412669539178e-12 1.413341499897420326e-11 2.289990640399780980e-11 4.185811336409269181e-11 9.594851489487124218e-11 2.163756564264217967e-10 5.340014978662023886e-10 3.801781136836424477e-12 7.518141094619929995e-12 1.623148489329375538e-11 2.333187723651681845e-11 4.528895317314877647e-11 1.005714446928877898e-10 2.196903056636903108e-10 5.421494515105706251e-10 1.774019571757821872e-12 1.099123864677951118e-11 1.057489811878694285e-11 1.872927841923291842e-11 2.533647450741541929e-11 4.460168293074926827e-11 9.915433039108552004e-11 2.211115008980290580e-10 5.499408360731100556e-10 3.011902438345317914e-12 4.623526233174477534e-12 1.257793079019230644e-11 1.333685152046472070e-11 2.189491675147513557e-11 2.856034593845570627e-11 4.662507478215521822e-11 1.002838613470910606e-10 2.186170084433234896e-10 5.521275024573094413e-10
6.000000000000000000e+00 3.172945496411424255e-10 1.085327293707263021e-10 4.506592292956394290e-10 3.678124255468478541e-11 1.685533585544503648e-10 4.910366063815558859e-10 1.683354537577981206e-11 6.502922958423547732e-11 1.897010296687383742e-10 5.104002938719256013e-10 8.822814589388840946e-12 3.019960702374813151e-11 7.752334575981908787e-11 2.048229965764545894e-10 5.271348517571869239e-10 5.355341339811834147e-12 1.781378175991202597e-11 3.668420924072983335e-11 8.873005876684690658e-11 2.124065953126603892e-10 5.366403938466425520e-10 3.942611965118059578e-12 1.365858696250803364e-11 2.249451955722600861e-11 3.981553626659411354e-11 9.178414666151764318e-11 2.108179817119051809e-10 5.484516112287494406e-10 3.850944711660729587e-12 7.663970056019309445e-12 1.647688175344687349e-11 2.338267240923843366e-11 4.326523655800409805e-11 9.666513357871694915e-11 2.147381925201543462e-10 5.559215555292515372e-10 1.719952084251341394e-12 1.100890366322992809e-11 1.075882402940774569e-11 1.878489807593166039e-11 2.543717352640031415e-11 4.320865653893820436e-11 9.597620037960502670e-11 2.155387541311929948e-10 5.637734512996939632e-10 3.030682555783563665e-12 4.608157177858483369e-12 1.259571665817100768e-11 1.343396987657711585e-11 2.239939317394618579e-11 2.839532036087953988e-11 4.527687958994965156e-11 9.810139970176722557e-11 2.132552023648096091e-10 5.661154254533795496e-10
7.000000000000000000e+00 3.291965423955862989e-10 1.063401976544034773e-10 4.622892177099844946e-10 3.516259528231617759e-11 1.631884566892606996e-10 5.030304946831395758e-10 1.562039501590022275e-11 6.248072247329095900e-11 1.845534388760685693e-10 5.215694407781283643e-10 8.629308539121104844e-12 2.830885228242958216e-11 7.445825173747470951e-11 1.994175219062523890e-10 5.381699777851637609e-10 5.155566367084721987e-12 1.751649250695790328e-11 3.467438185383166476e-11 8.553340397099782121e-11 2.068233538739488419e-10 5.470806524151033498e-10 4.023781740264106653e-12 1.329338460357269069e-11 2.230639819024060983e-11 3.820859663417631182e-11 8.871608906367362605e-11 2.049434850042668116e-10 5.586427098309958564e-10 3.854027163839843836e-12 7.874439035193096637e-12 1.666614987791394117e-11 2.362985098135925680e-11 4.170431880933242683e-11 9.367068989184491574e-11 2.093431584518063075e-10 5.652997119234962791e-10 1.688637610974680563e-12 1.098629801488295125e-11 1.103033833264080977e-11 1.880944601991087157e-11 2.573669610424308006e-11 4.215183862032147480e-11 9.359335791286485548e-11 2.096030642746063244e-10 5.732153466355011519e-10 3.016918761365975896e-12 4.648565064927209470e-12 1.258480465824916823e-11 1.363006480471156839e-11 2.282926090138243864e-11 2.844704248714370502e-11 4.427285469217230202e-11 9.659790468672564149e-11 2.075296924934060068e-10 5.754520688676271003e-10
8.000000000000000000e+00 3.377901012892278412e-10 1.038114720288511402e-10 4.703638323242441569e-10 3.384185365465433056e-11 1.578505722853804362e-10 5.113072562429393098e-10 1.459814536740931542e-11 6.045178791065585378e-11 1.792523705469833254e-10 5.292208886319471741e-10 8.500016482105727384e-12 2.681460443407360929e-11 7.207223315690439373e-11 1.938153920025262210e-10 5.456433201261004721e-10 5.001299061509810249e-12 1.737084444371108966e-11 3.302776193460456304e-11 8.302606707286929440e-11 2.010141914643186905e-10 5.539902177731220659e-10 4.104612657410548874e-12 1.300298189992260801e-11 2.225523683074624456e-11 3.688469487244279336e-11 8.641247301638902132e-11 1.990132039108506686e-10 5.652419868337345719e-10 3.827672505834428196e-12 8.108243641683678672e-12 1.679829435934897178e-11 2.397833746643285318e-11 4.042992686928967515e-11 9.131943693695157555e-11 2.037798724262429353e-10 5.710434084891451153e-10 1.671918588893706033e-12 1.093041580137546786e-11 1.133804949526674152e-11 1.880185416313897065e-11 2.612612800666420840e-11 4.127868881491831644e-11 9.174866922412661019e-11 2.035885502763483713e-10 5.790224590165928153e-10 2.986940738774269527e-12 4.720913320377554618e-12 1.254600740857959515e-11 1.386553331962264150e-11 2.316510952924244716e-11 2.861550850005348467e-11 4.345769517811111933e-11 9.551295903210790446e-11 2.017106964246932496e-10 5.809945188401156096e-10
9.000000000000000000e+00 3.436818534230876316e-10 1.011230735842428160e-10 4.755201243246707914e-10 3.274729990320909117e-11 1.526482910727152632e-10 5.165154275342619670e-10 1.372199045196149164e-11 5.880025600673839323e-11 1.739681903998343154e-10 5.339356734497048017e-10 8.406754667069305480e-12 2.559662443454521167e-11 7.016837509833048855e-11 1.882056967189355110e-10 5.501307938519747085e-10 4.876976092303850447e-12 1.731317578804942194e-11 3.163854548169094900e-11 8.100881605998389539e-11 1.951901011971919742e-10 5.579576682801289306e-10 4.182755126004276684e-12 1.276329616358257480e-11 2.228320045469678692e-11 3.575243069576542673e-11 8.463000238707500328e-11 1.931678302937746078e-10 5.688498578284874743e-10 3.782833615321005788e-12 8.340471246889603207e-12 1.687628747720893164e-11 2.436323027063407442e-11 3.933800263675076269e-11 8.941585875731264691e-11 1.982081474424421621e-10 5.738152346761666076e-10 1.664470066146504067e-12 1.084664159693192736e-11 1.164893789704245352e-11 1.876159374253420946e-11 2.653767622451560327e-11 4.050937210620903768e-11 9.026209095477044157e-11 1.976542095754918121e-10 5.818479517689614946e-10 2.948484940406321697e-12 4.808881934927303819e-12 1.248101747494995257e-11 1.410607899664240789e-11 2.340506868210523649e-11 2.883435016199965500e-11 4.274392749156497573e-11 9.467667413582911402e-11 1.959477999138733108e-10 5.834664093755762299e-10
1.000000000000000000e+01 3.473806519091138743e-10 9.838158070286667047e-11 4.782994633789723831e-10 3.182385121420176037e-11 1.476410670129011957e-10 5.192130997966014207e-10 1.296144772975292100e-11 5.742202300256316638e-11 1.688017410931806470e-10 5.362324282849362159e-10 8.333242538149210758e-12 2.457798097793293608e-11 6.860884173741782164e-11 1.827014212218078990e-10 5.521563368633471599e-10 4.773380310475722819e-12 1.730333998637603164e-11 3.043964427244846061e-11 7.934051833323983882e-11 1.894750163284027941e-10 5.595126746734954641e-10 4.255836134346220394e-12 1.255806591410641957e-11 2.235087262619161301e-11 3.475600910353631802e-11 8.320006264138451640e-11 1.874883859835431923e-10 5.700104905906402414e-10 3.726649327006584356e-12 8.557361104930506198e-12 1.690596865102710360e-11 2.474368005978555944e-11 3.836790816337632636e-11 8.782431651504638377e-11 1.927281267028259050e-10 5.741960251512488550e-10 1.662753955861967293e-12 1.074035706224049835e-11 1.194372280058702028e-11 1.869043608144929402e-11 2.693229964195369637e-11 3.980245612320817433e-11 8.901393598477887706e-11 1.918932921737910179e-10 5.822689064210323707e-10 2.905452036253683042e-12 4.902021621780097155e-12 1.239278407073111226e-11 1.433310794494239451e-11 2.355671626380432618e-11 2.906308989189457133e-11 4.208514134777085984e-11 9.398425348415716272e-11 1.903314124563733714e-10 5.834931640834930362e-10
