T	0->1	0->2	0->3	0->4	0->5	0->6	0->7	0->8	0->9	0->10	1->2	1->3	1->4	1->5	1->6	1->7	1->8	1->9	1->10	2->3	2->4	2->5	2->6	2->7	2->8	2->9	2->10	3->4	3->5	3->6	3->7	3->8	3->9	3->10	4->5	4->6	4->7	4->8	4->9	4->10	5->6	5->7	5->8	5->9	5->10	
1.000000000000000000e+00 3.553924792968948091e-10 1.132792875447021855e-10 2.229842986552492625e-11 2.881538184730530265e-12 3.632203566428323289e-13 6.311799824258502227e-14 2.959795412612893619e-15 1.622073977782979022e-16 2.490500712525803009e-17 2.858091368254718107e-18 1.660529311429315139e-10 3.318674887050937407e-11 3.099601772367424247e-12 5.669090190946186637e-13 6.609850158756488463e-14 5.831676223095406594e-15 5.594156016714843680e-16 2.785253874167819331e-17 1.658313050997317296e-18 7.318805139018913482e-11 8.699343637404018824e-12 6.773393588763334341e-13 8.722635475236736468e-14 8.662642854358369890e-15 5.619758818983046912e-16 2.400493129433954015e-17 1.330314829711695940e-18 2.417852272142129377e-11 1.718723878762325585e-12 1.370534942882404560e-13 1.028056767504203776e-14 5.298090502165190452e-16 3.355173971648088743e-17 1.434081522236172495e-18 5.668850682460132331e-12 2.404549115061334657e-13 1.323369959523848185e-14 7.401184809672560420e-16 3.495266326767438881e-17 1.397655536843066264e-18 9.354930470439778199e-13 2.554836367588300771e-14 1.008515898097051167e-15 4.579130251321377786e-17 1.489772328302371998e-18
2.000000000000000000e+00 4.547554095199641509e-10 1.533875151061308073e-10 4.262551165403027389e-11 1.260749249773798319e-11 4.976842281747821698e-12 1.548835675495857234e-12 2.808927177131804798e-13 5.836350958548670362e-14 2.828667552100452047e-14 1.573890482798448024e-14 2.590422538971095242e-10 6.475880823529886774e-11 1.268397397932894068e-11 5.679632639415936103e-12 1.437583976769460592e-12 4.033863555639755351e-13 1.238887838350796860e-13 2.843323934597880110e-14 8.805458065266154235e-15 1.709787516036937786e-10 3.082130769539316495e-11 5.896285068597259052e-12 1.936722130750219806e-12 5.599143789943244017e-13 1.387220303422455888e-13 2.589123324842167024e-14 7.078321135866645749e-15 1.013909335093279066e-10 1.329533168715790651e-11 2.810971215568694650e-12 6.654968498071199400e-13 1.346272215355067949e-13 3.410454784511296998e-14 6.911340606058170816e-15 5.170218848893824270e-11 4.894108726878141556e-12 8.571883384593593239e-13 1.821179020162302359e-13 3.809944950723619382e-14 6.792763962925170032e-15 2.130399915146642322e-11 1.584999981242482472e-12 2.379434984975486918e-13 4.710518907380933744e-14 7.607275152524796774e-15
3.000000000000000000e+00 5.004570376985645336e-10 1.545795177662830814e-10 4.890363926322020673e-11 2.225361421372182749e-11 1.276845042705686499e-11 4.512583987154178750e-12 1.460689949140184609e-12 4.543982918941819629e-13 2.738241582474451022e-13 2.739601203771301948e-13 2.949295015163483421e-10 7.425660521750453989e-11 2.083197120410422587e-11 1.213217392890039715e-11 4.243011144026530927e-12 1.754203078089095593e-12 7.586385320957116463e-13 2.814176400151583949e-13 1.540752658713306950e-13 2.214567169247804233e-10 4.375834882153394376e-11 1.227547534753616728e-11 5.514539357358763191e-12 2.279361424729677242e-12 8.905513181844063006e-13 2.603723661385209668e-13 1.257701890566246764e-13 1.569453629307830290e-10 2.468443875515067663e-11 7.532683785376760587e-12 2.711758420609070094e-12 8.911633682841056028e-13 3.401399598007553537e-13 1.177630576414818656e-13 1.025154593565913010e-10 1.261395367093134018e-11 3.458690023863203919e-12 1.172036628117392901e-12 3.883142496763170855e-13 1.169049445155526156e-13 5.732261405410635454e-11 5.989853536528405275e-12 1.476848806573171580e-12 4.784434967973889391e-13 1.332704168692472425e-13
4.000000000000000000e+00 5.195108622948932919e-10 1.479746191718326759e-10 5.110686507676833029e-11 3.012259063551141737e-11 2.008763892527100667e-11 7.831360886055170300e-12 3.513176945998060652e-12 1.305959861528829722e-12 8.185427543301353457e-13 1.118029102382513130e-12 3.094069903969516217e-10 7.652823177205843342e-11 2.699806101009645906e-11 1.769047817058653071e-11 7.581550063299289699e-12 3.804145150076238879e-12 1.908248357920200979e-12 8.836133325267649003e-13 6.394078638549993681e-13 2.470583230288797888e-10 5.058781316165571406e-11 1.795795930879680404e-11 9.480521170714728181e-12 4.678423762011511400e-12 2.277081665064630249e-12 8.248280164782403317e-13 5.366844989407800430e-13 1.904115806569566644e-10 3.280765919592444267e-11 1.233382841407182780e-11 5.581562538598918480e-12 2.339754980409375127e-12 1.071965642323312802e-12 4.912208296299461477e-13 1.398612741349597847e-10 1.979269878792486344e-11 7.010566864685384411e-12 3.016289129439671172e-12 1.233015378206648733e-12 4.912104429141986527e-13 9.101272790564520281e-11 1.141483543903663102e-11 3.717045752888207909e-12 1.527252374908612635e-12 5.646080424298434067e-13
5.000000000000000000e+00 5.242089853165877864e-10 1.400320358403556080e-10 5.199967162646938461e-11 3.599306257223855889e-11 2.586263606467095278e-11 1.095957949172698355e-11 6.075475315260281507e-12 2.483626268876116021e-12 1.546991318245659750e-12 2.555916016604073571e-12 3.137922298074521711e-10 7.632119108896141092e-11 3.170433018449489017e-11 2.215372365229915974e-11 1.094844087553699435e-11 6.168412185678040610e-12 3.349500628903191643e-12 1.758682874580392417e-12 1.487808380735716381e-12 2.595500774958511537e-10 5.438818448313844138e-11 2.277599684370422707e-11 1.329004582877196613e-11 7.265073886304360188e-12 4.011240474288256776e-12 1.653150984765359518e-12 1.286384976260696623e-12 2.100352992082622481e-10 3.849004453937301281e-11 1.665551300517558356e-11 8.699333285651798742e-12 4.211816332546675710e-12 2.128744557063862600e-12 1.161819084379979005e-12 1.649482988004601159e-10 2.566171266566635816e-11 1.078130450506620083e-11 5.344594730659422582e-12 2.455932019266120082e-12 1.167099358130133243e-12 1.174555908748686617e-10 1.663143323625257831e-11 6.501443328834028702e-12 3.057375388168755136e-12 1.347131349895931054e-12
6.000000000000000000e+00 5.210468955837353587e-10 1.323035365576892762e-10 5.237845599166227616e-11 4.019467285491391818e-11 3.020672028622167367e-11 1.368300634817001010e-11 8.816638595166310195e-12 3.817195423843550730e-12 2.334739065886459727e-12 4.379113653461328382e-12 3.128796458134949916e-10 7.520862527828466969e-11 3.537187003094615474e-11 2.569857770369807453e-11 1.409531849193498308e-11 8.573474453326763675e-12 4.889943752285114116e-12 2.785514557838395103e-12 2.588603524478790297e-12 2.646971078753911203e-10 5.662132531798806341e-11 2.682722889784490284e-11 1.675509732240152685e-11 9.763207117940877320e-12 5.845980007262979090e-12 2.633960963586438694e-12 2.300191076834893728e-12 2.211950969909148454e-10 4.257930950452781417e-11 2.042432534367658208e-11 1.173771020972130059e-11 6.246858258203524244e-12 3.349196910962394977e-12 2.061048946901885678e-12 1.812623121405067790e-10 3.032856804732220226e-11 1.440643639265718525e-11 7.821143471468502947e-12 3.869783535620606994e-12 2.075601766528871191e-12 1.369637813274022381e-10 2.122710942341498147e-11 9.444642700530991768e-12 4.833897078111629058e-12 2.400280816179378136e-12
7.000000000000000000e+00 5.134941988978932415e-10 1.251683499574131327e-10 5.251651480625512797e-11 4.313004720503585495e-11 3.344747516374533415e-11 1.595043922616358260e-11 1.151444653208287585e-11 5.179576765713404604e-12 3.102830348014680315e-12 6.368925831401082258e-12 3.090346254691937415e-10 7.376410030058891792e-11 3.826690014600402267e-11 2.851341218730136460e-11 1.691319184093313639e-11 1.085700671522028737e-11 6.405022030516923972e-12 3.867958335623767628e-12 3.812178949017140016e-12 2.655355235113642199e-10 5.795915497969709373e-11 3.021812048537669155e-11 1.981232458409206148e-11 1.203949789538788702e-11 7.629193177170249644e-12 3.675946159136131209e-12 3.469859748871962102e-12 2.270441602627227692e-10 4.559610586609654264e-11 2.366936495479753856e-11 1.453347738632751843e-11 8.269228530994751426e-12 4.606750649144831669e-12 3.094793569918101631e-12 1.915497663683632831e-10 3.402411691385449095e-11 1.772384438888531048e-11 1.023139227160052658e-11 5.327897176708154957e-12 3.120198949020985875e-12 1.509248029292160299e-10 2.513027863068096643e-11 1.230596294085280241e-11 6.667381464260081053e-12 3.610051187400632334e-12
8.000000000000000000e+00 5.034715325885232892e-10 1.186875572277545506e-10 5.252218996448766368e-11 4.513338387816903182e-11 3.586772082320423596e-11 1.778540098795762868e-11 1.404218749271259226e-11 6.494614155756753278e-12 3.810247571571081158e-12 8.367485354251000786e-12 3.035390891950971684e-10 7.221310962477384006e-11 4.056009439410356216e-11 3.074603434439160285e-11 1.936996183747662028e-11 1.293769868449137704e-11 7.824620393184329085e-12 4.943695776785510966e-12 5.058064339550254427e-12 2.637716971926850558e-10 5.873045599201154712e-11 3.303892229691902168e-11 2.245354153470512488e-11 1.404376008929283681e-11 9.281507142429416923e-12 4.717843114956721773e-12 4.700989135063426467e-12 2.294644066146970407e-10 4.784772678832744869e-11 2.643836607364855401e-11 1.701932393910398164e-11 1.017807412530371546e-11 5.822302002407617300e-12 4.182225216705677146e-12 1.976959635838313422e-10 3.695072895418257557e-11 2.067374485474778073e-11 1.246052442488071437e-11 6.738460950515817480e-12 4.217799328013145609e-12 1.606748610858442684e-10 2.838732826169723755e-11 1.495643043227203815e-11 8.436970974292544798e-12 4.878511117945707026e-12
9.000000000000000000e+00 4.920973105519185798e-10 1.128310174108204002e-10 5.244556696327940782e-11 4.645519991420224375e-11 3.767449495413837428e-11 1.924069412575653304e-11 1.633946693857096776e-11 7.724248142823817286e-12 4.439820718115851121e-12 1.027948206875065019e-11 2.971365982354711090e-10 7.065077969447207214e-11 4.237070918850496875e-11 3.250903362205484901e-11 2.147467470803301114e-11 1.478635303889660403e-11 9.115708360506217250e-12 5.977216863659700410e-12 6.261618852202996312e-12 2.604187552065518612e-10 5.911412417044017024e-11 3.536851584090585766e-11 2.469987116017114944e-11 1.577183040787042086e-11 1.076964652200674746e-11 5.723305021590057513e-12 5.926203794219988333e-12 2.296254306289603219e-10 4.952744078864090229e-11 2.878264834407565995e-11 1.918232623055183246e-11 1.192451521123781551e-11 6.953770670026221694e-12 5.265790794212517732e-12 2.009730630723760248e-10 3.926809109355399835e-11 2.324998792954006398e-11 1.445945701812425035e-11 8.052188868612393372e-12 5.309503154817627262e-12 1.672825726333755309e-10 3.107999308992588051e-11 1.733989799418546405e-11 1.007703355545555094e-11 6.136924517366532802e-12
1.000000000000000000e+01 4.800555047330513720e-10 1.075444522876716476e-10 5.231457737091244977e-11 4.727796757731111451e-11 3.901569217737851602e-11 2.037635826414304811e-11 1.838693058210711989e-11 8.854556529039460387e-12 4.987966415989189742e-12 1.205572576762465122e-11 2.902805565181292266e-10 6.912023932384082708e-11 4.378941737802604188e-11 3.389021874709060934e-11 2.325654422927216511e-11 1.640410995315752817e-11 1.026840433313248862e-11 6.951139119561558997e-12 7.386877191890613820e-12 2.561059071297441619e-10 5.921992963184397350e-11 3.727789551690592013e-11 2.658772538705239149e-11 1.724289880228943851e-11 1.208704665901041214e-11 6.673459498250737404e-12 7.103249326182764943e-12 2.282840437545776519e-10 5.076760085035475625e-11 3.075370038273433737e-11 2.103862695132761180e-11 1.349212769894190561e-11 7.983404916594894715e-12 6.309164001187237666e-12 2.022495022500660660e-10 4.110135384807041720e-11 2.547412790030956449e-11 1.621803057672859224e-11 9.247724863352952539e-12 6.358508122476574331e-12 1.715591404910373089e-10 3.329497834954963431e-11 1.944374138607287080e-11 1.155909209638810553e-11 7.343080627242852779e-12
