	0	1	2	3	4	5	6	7
7500	1.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-25.7741440000
122009	1.0000000000	0.0283000000	3.8267000000	10.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.2168140000
7515	2.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.1357940000
122064	2.0000000000	0.0283000000	3.8267000000	10.0000000000	0.0000000000	0.0000000000	3.0000000000	-26.8350110000
7530	3.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.3523060000
122118	3.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-26.9284390000
7545	4.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.4843710000
122173	4.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.0080660000
7560	5.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5676530000
122228	5.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.0577730000
7575	6.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6206280000
122283	6.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.0887260000
7590	7.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6536840000
122338	7.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1070980000
7605	8.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6731050000
122393	8.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1170480000
7620	9.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6829490000
122448	9.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1215140000
7635	10.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6859600000
122503	10.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1225480000
7650	11.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6841040000
122558	11.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1215380000
7665	12.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6788230000
122613	12.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1194140000
7680	13.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6712110000
122668	13.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1167610000
7695	14.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6621110000
122723	14.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1139730000
7710	15.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6521690000
122778	15.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1112810000
7725	16.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6418810000
122833	16.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1088280000
7740	17.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6316220000
122888	17.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1067010000
7755	18.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6216700000
122943	18.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1049440000
7770	19.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6122320000
122998	19.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1035980000
7785	20.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.6034470000
123053	20.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1026600000
7800	21.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5954050000
123108	21.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1021410000
7815	22.0000000000	14.4599000000	3.0614000000	1.0000000000	0.0000000000	0.0000000000	2.0000000000	-26.5881680000
123163	22.0000000000	0.0283000000	3.8267000000	9.0000000000	0.0000000000	0.0000000000	3.0000000000	-27.1020350000
