I	J	5.000	6.000	7.000	8.000	9.000	10.000	12.000	14.000	16.000	18.000	20.000	25.000	30.000	35.000	40.000	45.000	50.000	55.000	60.000	65.000	70.000	75.000	80.000	85.000	90.000	95.000	100.000
2	1	1.12E-11	1.37E-11	1.58E-11	1.75E-11	1.89E-11	1.98E-11	2.09E-11	2.13E-11	2.15E-11	2.16E-11	2.16E-11	2.13E-11	2.10E-11	2.04E-11	1.96E-11	1.87E-11	1.78E-11	1.68E-11	1.59E-11	1.51E-11	1.44E-11	1.37E-11	1.31E-11	1.26E-11	1.22E-11	1.18E-11	1.16E-11
3	1	7.44E-12	9.51E-12	1.16E-11	1.36E-11	1.52E-11	1.66E-11	1.86E-11	2.00E-11	2.11E-11	2.20E-11	2.28E-11	2.42E-11	2.52E-11	2.56E-11	2.55E-11	2.51E-11	2.44E-11	2.36E-11	2.27E-11	2.18E-11	2.08E-11	2.00E-11	1.92E-11	1.85E-11	1.79E-11	1.75E-11	1.73E-11
3	2	1.57E-11	2.02E-11	2.39E-11	2.71E-11	2.98E-11	3.20E-11	3.52E-11	3.70E-11	3.79E-11	3.83E-11	3.83E-11	3.78E-11	3.71E-11	3.62E-11	3.49E-11	3.34E-11	3.18E-11	3.03E-11	2.90E-11	2.77E-11	2.65E-11	2.55E-11	2.45E-11	2.36E-11	2.28E-11	2.21E-11	2.15E-11
4	1	1.82E-12	2.39E-12	2.97E-12	3.51E-12	3.99E-12	4.36E-12	4.88E-12	5.19E-12	5.37E-12	5.47E-12	5.52E-12	5.56E-12	5.56E-12	5.47E-12	5.29E-12	5.08E-12	4.87E-12	4.68E-12	4.51E-12	4.36E-12	4.22E-12	4.10E-12	4.00E-12	3.90E-12	3.82E-12	3.73E-12	3.65E-12
4	2	1.19E-11	1.57E-11	1.93E-11	2.27E-11	2.57E-11	2.84E-11	3.26E-11	3.56E-11	3.78E-11	3.94E-11	4.07E-11	4.29E-11	4.45E-11	4.51E-11	4.47E-11	4.37E-11	4.24E-11	4.09E-11	3.94E-11	3.78E-11	3.63E-11	3.49E-11	3.35E-11	3.22E-11	3.10E-11	3.00E-11	2.92E-11
4	3	1.84E-11	2.41E-11	2.90E-11	3.29E-11	3.61E-11	3.86E-11	4.23E-11	4.45E-11	4.55E-11	4.59E-11	4.58E-11	4.51E-11	4.43E-11	4.32E-11	4.16E-11	3.99E-11	3.82E-11	3.65E-11	3.49E-11	3.33E-11	3.19E-11	3.05E-11	2.93E-11	2.82E-11	2.72E-11	2.63E-11	2.55E-11
5	1	1.46E-12	1.95E-12	2.45E-12	2.93E-12	3.36E-12	3.72E-12	4.25E-12	4.59E-12	4.81E-12	4.95E-12	5.05E-12	5.28E-12	5.47E-12	5.54E-12	5.49E-12	5.38E-12	5.24E-12	5.09E-12	4.93E-12	4.78E-12	4.63E-12	4.49E-12	4.36E-12	4.24E-12	4.13E-12	4.02E-12	3.90E-12
5	2	4.19E-12	5.45E-12	6.70E-12	7.90E-12	8.97E-12	9.86E-12	1.12E-11	1.20E-11	1.26E-11	1.29E-11	1.31E-11	1.32E-11	1.31E-11	1.28E-11	1.23E-11	1.17E-11	1.12E-11	1.07E-11	1.03E-11	9.86E-12	9.49E-12	9.14E-12	8.83E-12	8.56E-12	8.31E-12	8.09E-12	7.84E-12
5	3	1.37E-11	1.83E-11	2.24E-11	2.61E-11	2.95E-11	3.26E-11	3.77E-11	4.15E-11	4.42E-11	4.60E-11	4.72E-11	4.93E-11	5.06E-11	5.10E-11	5.05E-11	4.93E-11	4.78E-11	4.63E-11	4.48E-11	4.33E-11	4.19E-11	4.05E-11	3.91E-11	3.77E-11	3.64E-11	3.52E-11	3.42E-11
