I	J	4.000	6.000	8.000	10.000	12.000	14.000	16.000	18.000	20.000	22.000	24.000	26.000	28.000	30.000	32.000	34.000	36.000	38.000	40.000	42.000	44.000	46.000	48.000	50.000	52.000	54.000	56.000	58.000	60.000	62.000	64.000	66.000	68.000	70.000	72.000	74.000	76.000	78.000	80.000	82.000	84.000	86.000	88.000	90.000	92.000	94.000	96.000	98.000	100.000
2	1	4.09E-11	3.97E-11	3.85E-11	3.73E-11	3.62E-11	3.53E-11	3.44E-11	3.37E-11	3.30E-11	3.24E-11	3.19E-11	3.14E-11	3.09E-11	3.05E-11	3.02E-11	2.99E-11	2.96E-11	2.93E-11	2.91E-11	2.88E-11	2.86E-11	2.84E-11	2.82E-11	2.81E-11	2.79E-11	2.78E-11	2.76E-11	2.75E-11	2.74E-11	2.73E-11	2.72E-11	2.71E-11	2.70E-11	2.69E-11	2.68E-11	2.68E-11	2.67E-11	2.66E-11	2.65E-11	2.65E-11	2.64E-11	2.64E-11	2.63E-11	2.63E-11	2.62E-11	2.62E-11	2.61E-11	2.61E-11	2.60E-11
3	1	1.32E-11	1.37E-11	1.38E-11	1.37E-11	1.35E-11	1.33E-11	1.31E-11	1.30E-11	1.28E-11	1.26E-11	1.25E-11	1.24E-11	1.23E-11	1.21E-11	1.20E-11	1.19E-11	1.19E-11	1.18E-11	1.17E-11	1.16E-11	1.15E-11	1.15E-11	1.14E-11	1.14E-11	1.13E-11	1.13E-11	1.12E-11	1.12E-11	1.11E-11	1.11E-11	1.10E-11	1.10E-11	1.10E-11	1.09E-11	1.09E-11	1.09E-11	1.09E-11	1.08E-11	1.08E-11	1.08E-11	1.08E-11	1.07E-11	1.07E-11	1.07E-11	1.07E-11	1.07E-11	1.07E-11	1.06E-11	1.06E-11
3	2	7.95E-11	8.21E-11	8.21E-11	8.12E-11	8.00E-11	7.88E-11	7.76E-11	7.64E-11	7.54E-11	7.45E-11	7.37E-11	7.30E-11	7.23E-11	7.17E-11	7.11E-11	7.06E-11	7.02E-11	6.97E-11	6.94E-11	6.90E-11	6.87E-11	6.84E-11	6.81E-11	6.78E-11	6.76E-11	6.74E-11	6.72E-11	6.70E-11	6.68E-11	6.66E-11	6.64E-11	6.63E-11	6.61E-11	6.60E-11	6.59E-11	6.58E-11	6.56E-11	6.55E-11	6.54E-11	6.53E-11	6.52E-11	6.52E-11	6.51E-11	6.50E-11	6.49E-11	6.49E-11	6.48E-11	6.47E-11	6.47E-11
4	1	6.13E-12	6.08E-12	6.02E-12	5.96E-12	5.91E-12	5.88E-12	5.86E-12	5.85E-12	5.85E-12	5.86E-12	5.87E-12	5.88E-12	5.89E-12	5.91E-12	5.92E-12	5.94E-12	5.95E-12	5.97E-12	5.98E-12	5.99E-12	6.01E-12	6.02E-12	6.03E-12	6.04E-12	6.05E-12	6.06E-12	6.07E-12	6.08E-12	6.09E-12	6.10E-12	6.10E-12	6.11E-12	6.12E-12	6.12E-12	6.13E-12	6.13E-12	6.14E-12	6.15E-12	6.15E-12	6.15E-12	6.16E-12	6.16E-12	6.17E-12	6.17E-12	6.18E-12	6.18E-12	6.18E-12	6.19E-12	6.19E-12
4	2	3.67E-11	3.69E-11	3.65E-11	3.60E-11	3.55E-11	3.50E-11	3.45E-11	3.42E-11	3.38E-11	3.36E-11	3.33E-11	3.31E-11	3.30E-11	3.28E-11	3.27E-11	3.26E-11	3.25E-11	3.24E-11	3.24E-11	3.23E-11	3.23E-11	3.22E-11	3.22E-11	3.22E-11	3.22E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.21E-11	3.22E-11	3.22E-11	3.22E-11	3.22E-11	3.22E-11	3.22E-11	3.22E-11	3.22E-11	3.22E-11	3.23E-11	3.23E-11	3.23E-11	3.23E-11
4	3	8.54E-11	8.99E-11	9.11E-11	9.07E-11	8.97E-11	8.84E-11	8.71E-11	8.59E-11	8.47E-11	8.37E-11	8.27E-11	8.18E-11	8.10E-11	8.04E-11	7.97E-11	7.92E-11	7.87E-11	7.82E-11	7.78E-11	7.75E-11	7.72E-11	7.69E-11	7.66E-11	7.64E-11	7.62E-11	7.60E-11	7.58E-11	7.57E-11	7.56E-11	7.55E-11	7.54E-11	7.53E-11	7.52E-11	7.51E-11	7.50E-11	7.50E-11	7.49E-11	7.49E-11	7.49E-11	7.48E-11	7.48E-11	7.48E-11	7.48E-11	7.48E-11	7.48E-11	7.48E-11	7.48E-11	7.48E-11	7.48E-11
5	1	2.75E-12	2.65E-12	2.58E-12	2.53E-12	2.50E-12	2.49E-12	2.49E-12	2.50E-12	2.52E-12	2.54E-12	2.57E-12	2.60E-12	2.63E-12	2.67E-12	2.71E-12	2.74E-12	2.78E-12	2.82E-12	2.86E-12	2.90E-12	2.93E-12	2.97E-12	3.01E-12	3.04E-12	3.08E-12	3.11E-12	3.14E-12	3.17E-12	3.20E-12	3.23E-12	3.26E-12	3.29E-12	3.31E-12	3.34E-12	3.36E-12	3.39E-12	3.41E-12	3.43E-12	3.46E-12	3.48E-12	3.50E-12	3.52E-12	3.54E-12	3.56E-12	3.57E-12	3.59E-12	3.61E-12	3.62E-12	3.64E-12
5	2	1.84E-11	1.77E-11	1.72E-11	1.68E-11	1.65E-11	1.63E-11	1.62E-11	1.61E-11	1.60E-11	1.60E-11	1.60E-11	1.61E-11	1.61E-11	1.62E-11	1.63E-11	1.63E-11	1.64E-11	1.65E-11	1.66E-11	1.67E-11	1.68E-11	1.69E-11	1.70E-11	1.71E-11	1.72E-11	1.73E-11	1.74E-11	1.75E-11	1.76E-11	1.77E-11	1.78E-11	1.78E-11	1.79E-11	1.80E-11	1.81E-11	1.82E-11	1.83E-11	1.83E-11	1.84E-11	1.85E-11	1.86E-11	1.86E-11	1.87E-11	1.88E-11	1.88E-11	1.89E-11	1.90E-11	1.90E-11	1.91E-11
5	3	5.02E-11	4.86E-11	4.72E-11	4.58E-11	4.47E-11	4.36E-11	4.28E-11	4.20E-11	4.14E-11	4.08E-11	4.03E-11	3.99E-11	3.95E-11	3.92E-11	3.90E-11	3.87E-11	3.85E-11	3.84E-11	3.82E-11	3.81E-11	3.80E-11	3.79E-11	3.79E-11	3.78E-11	3.78E-11	3.77E-11	3.77E-11	3.77E-11	3.77E-11	3.77E-11	3.77E-11	3.78E-11	3.78E-11	3.78E-11	3.79E-11	3.79E-11	3.79E-11	3.80E-11	3.80E-11	3.81E-11	3.81E-11	3.82E-11	3.82E-11	3.83E-11	3.83E-11	3.84E-11	3.85E-11	3.85E-11	3.86E-11
