I	J	10.000	15.000	20.000	25.000	30.000	40.000
2	1	1.28E-10	1.18E-10	1.22E-10	1.07E-10	9.08E-11	7.05E-11
3	1	4.41E-11	4.52E-11	4.58E-11	4.55E-11	4.45E-11	4.17E-11
3	2	1.21E-10	1.85E-10	1.89E-10	1.62E-10	1.39E-10	1.16E-10
4	1	1.19E-11	1.66E-11	1.79E-11	1.65E-11	1.46E-11	1.15E-11
4	2	7.03E-11	7.38E-11	7.54E-11	7.51E-11	7.35E-11	6.83E-11
4	3	1.48E-10	2.03E-10	1.73E-10	1.54E-10	1.44E-10	1.35E-10
5	1	1.02E-11	1.42E-11	1.20E-11	9.97E-12	8.93E-12	8.11E-12
5	2	3.09E-11	4.10E-11	4.01E-11	3.64E-11	3.27E-11	2.65E-11
5	3	8.79E-11	9.07E-11	8.86E-11	8.61E-11	8.31E-11	7.61E-11
5	4	1.64E-10	1.68E-10	1.35E-10	1.19E-10	1.13E-10	1.13E-10
6	1	3.36E-12	4.37E-12	4.66E-12	4.68E-12	4.62E-12	4.33E-12
6	2	2.82E-11	2.40E-11	2.10E-11	1.95E-11	1.86E-11	1.75E-11
6	3	3.37E-11	3.69E-11	3.78E-11	3.68E-11	3.45E-11	2.91E-11
6	4	9.78E-11	9.82E-11	9.47E-11	9.11E-11	8.76E-11	8.04E-11
6	5	1.35E-10	1.33E-10	1.16E-10	1.03E-10	9.83E-11	1.00E-10
7	1	3.38E-12	3.55E-12	3.51E-12	3.36E-12	3.20E-12	2.96E-12
7	2	1.37E-11	1.40E-11	1.43E-11	1.43E-11	1.40E-11	1.26E-11
7	3	2.71E-11	2.81E-11	2.71E-11	2.57E-11	2.45E-11	2.22E-11
7	4	3.75E-11	3.65E-11	3.56E-11	3.45E-11	3.29E-11	2.86E-11
7	5	1.02E-10	1.02E-10	9.86E-11	9.53E-11	9.18E-11	8.47E-11
7	6	1.15E-10	1.14E-10	1.06E-10	9.62E-11	9.07E-11	9.08E-11
8	1	2.43E-12	2.23E-12	2.01E-12	1.88E-12	1.80E-12	1.67E-12
8	2	1.03E-11	1.03E-11	9.84E-12	9.13E-12	8.48E-12	7.48E-12
8	3	1.64E-11	1.65E-11	1.69E-11	1.70E-11	1.67E-11	1.51E-11
8	4	3.25E-11	3.23E-11	3.05E-11	2.85E-11	2.69E-11	2.43E-11
8	5	3.68E-11	3.53E-11	3.34E-11	3.13E-11	2.93E-11	2.58E-11
8	6	1.03E-10	1.03E-10	1.01E-10	9.74E-11	9.31E-11	8.42E-11
8	7	9.79E-11	1.03E-10	9.99E-11	9.10E-11	8.28E-11	7.58E-11
9	1	2.10E-12	2.10E-12	1.97E-12	1.85E-12	1.77E-12	1.67E-12
9	2	5.87E-12	5.22E-12	4.79E-12	4.53E-12	4.38E-12	4.12E-12
9	3	1.43E-11	1.35E-11	1.24E-11	1.14E-11	1.06E-11	9.41E-12
9	4	1.60E-11	1.51E-11	1.47E-11	1.44E-11	1.40E-11	1.26E-11
9	5	3.54E-11	3.26E-11	3.03E-11	2.84E-11	2.68E-11	2.43E-11
9	6	3.32E-11	3.21E-11	2.99E-11	2.73E-11	2.53E-11	2.23E-11
9	7	9.76E-11	9.94E-11	9.72E-11	9.35E-11	8.91E-11	8.03E-11
9	8	8.31E-11	9.23E-11	9.28E-11	8.58E-11	7.67E-11	6.55E-11
10	1	9.13E-13	9.09E-13	9.00E-13	8.89E-13	8.72E-13	8.17E-13
10	2	8.77E-12	7.57E-12	6.83E-12	6.28E-12	5.82E-12	5.08E-12
10	3	7.53E-12	6.90E-12	6.47E-12	6.15E-12	5.88E-12	5.40E-12
10	4	1.59E-11	1.50E-11	1.39E-11	1.29E-11	1.21E-11	1.09E-11
10	5	1.55E-11	1.44E-11	1.38E-11	1.34E-11	1.29E-11	1.18E-11
10	6	3.81E-11	3.31E-11	3.06E-11	2.92E-11	2.80E-11	2.55E-11
10	7	3.15E-11	2.97E-11	2.75E-11	2.53E-11	2.35E-11	2.12E-11
10	8	9.81E-11	9.54E-11	9.24E-11	9.03E-11	8.78E-11	8.15E-11
10	9	7.44E-11	7.95E-11	7.99E-11	7.66E-11	7.06E-11	5.95E-11
